ProteinId.t1,Name,SC16a,CcL,CcD,PFAM annotation,GO annotation (terminal nodes only),KEGG annotation,SignalP/SmallSecretedProteins,Transcription factors,Transmembrane domains,MEROPS proteases,Manual annotations,Secondary metabolism,SC16a -> CcL: Up/Down,SC16a -> CcL: q value,"SC16a -> CcL: : q-value <= 0.05, fold change >= 2, and >= 1 sample with >= 4 expression value?",SC16a -> CcD: Up/Down,SC16a -> CcD: q value,"SC16a -> CcD: : q-value <= 0.05, fold change >= 2, and >= 1 sample with >= 4 expression value?",CcL -> CcD: Up/Down,CcL -> CcD: q value,"CcL -> CcD: : q-value <= 0.05, fold change >= 2, and >= 1 sample with >= 4 expression value?"
Ophio5|2535.t1,,94.4398,209.41,273.337,PF03690.8|UPF0160,,,,,,,,,Up,0.000535012,Yes,Up,0.000285532,Yes,Up,0.309879,No
Ophio5|2536.t1,,183.981,117.049,99.9109,PF04667.12|Endosulfine,,,,,,,,,Down,0.0650666,No,Down,0.0174422,No,Down,0.596094,No
Ophio5|2537.t1,,44.5839,26.9222,27.9458,PF03074.11|GCS,GO:0004357|glutamate-cysteine ligase activity;GO:0006750|glutathione biosynthetic process,,,,,,,,Down,0.0300955,No,Down,0.039556,No,Up,0.898798,No
Ophio5|2538.t1,,35.9558,792.244,319.079,,,,,,,,,,Up,0.000285532,Yes,Up,0.000285532,Yes,Down,0.00842804,Yes
Ophio5|2539.t1,,3.31914,54.1204,21.1989,PF00069.20|Pkinase;PF07714.12|Pkinase_Tyr;PF00498.21|FHA,GO:0005515|protein binding;GO:0005524|ATP binding;GO:0004672|protein kinase activity;GO:0006468|protein phosphorylation,,,,,,,,Up,0.000285532,Yes,Up,0.000285532,Yes,Down,0.000535012,Yes
Ophio5|254.t1,,31.463,12.7849,24.7258,PF00248.16|Aldo_ket_red,,,,,,,,,Down,0.00223648,Yes,Down,0.402864,No,Up,0.0283003,No
Ophio5|2540.t1,,58.4818,213.517,112.092,PF04669.8|Polysacc_synt_4,,,,,,,,,Up,0.000285532,Yes,Up,0.00601648,No,Down,0.00778228,No
Ophio5|2541.t1,,8.0091,15.4591,4.55659,,,,,,,,,,Up,0.0510406,No,Down,0.14341,No,Down,0.000535012,Yes
Ophio5|2542.t1,,5.28138,13.8545,5.34251,,,,,,1,,,,Up,0.00981662,Yes,Up,0.986484,No,Down,0.00934678,Yes
Ophio5|2543.t1,,86.03,175.576,81.1232,PF08588.5|DUF1769,,,,,,,,,Up,0.00143681,Yes,Down,0.829604,No,Down,0.000285532,Yes
Ophio5|2544.t1,,52.6366,70.3903,27.2699,PF12014.3|DUF3506,,,,,,,,,Up,0.248502,No,Down,0.00393484,No,Down,0.000285532,Yes
Ophio5|2545.t1,,177.723,530.631,189.132,PF00174.14|Oxidored_molyb;PF03404.11|Mo-co_dimer;PF03404.11|Mo-co_dimer;PF00173.23|Cyt-b5,GO:0016491|oxidoreductase activity;GO:0030151|molybdenum ion binding;GO:0009055|electron carrier activity;GO:0055114|oxidation-reduction process;GO:0020037|heme binding,,,,,,,,Up,0.000770107,Yes,Up,0.845655,No,Down,0.00223648,Yes
Ophio5|2546.t1,,70.6783,81.691,100.447,PF01851.17|PC_rep;PF01851.17|PC_rep;PF01851.17|PC_rep;PF13646.1|HEAT_2;PF13513.1|HEAT_EZ,,,,,,,,,Up,0.605072,No,Up,0.179882,No,Up,0.450663,No
Ophio5|2547.t1,,52.8213,84.2775,71.9941,PF02940.10|mRNA_triPase,GO:0004651|polynucleotide 5'-phosphatase activity;GO:0016740|transferase activity,,,,,,,,Up,0.0422979,No,Up,0.191408,No,Down,0.546229,No
Ophio5|2548.t1,,89.3412,44.3238,93.7491,PF00465.14|Fe-ADH,GO:0016491|oxidoreductase activity;GO:0046872|metal ion binding;GO:0055114|oxidation-reduction process,,,,,,,,Down,0.00204693,Yes,Up,0.870467,No,Up,0.000535012,Yes
Ophio5|2549.t1,,37.7657,36.5155,59.4132,PF00400.27|WD40;PF00400.27|WD40,GO:0005515|protein binding,,,,,,,,Down,0.913571,No,Up,0.0432904,No,Up,0.0402345,No
Ophio5|255.t1,,64.8036,52.2128,62.4436,,,,,,,,,,Down,0.377015,No,Down,0.901304,No,Up,0.470258,No
Ophio5|2550.t1,,28.1577,14.8532,25.2848,PF00704.23|Glyco_hydro_18,"GO:0005975|carbohydrate metabolic process;GO:0004553|hydrolase activity, hydrolyzing O-glycosyl compounds",,SignalP: has predicted secretion signal,,1,,,,Down,0.0207994,No,Down,0.729335,No,Up,0.0542983,No
Ophio5|2551.t1,,37.889,24.1411,58.0242,PF03009.12|GDPD,GO:0008889|glycerophosphodiester phosphodiesterase activity;GO:0006071|glycerol metabolic process,,,,,,,,Down,0.0710963,No,Up,0.0700694,No,Up,0.000285532,Yes
Ophio5|2552.t1,,4791.42,828.42,501.668,PF00258.20|Flavodoxin_1;PF03358.10|FMN_red;PF02525.12|Flavodoxin_2,GO:0016491|oxidoreductase activity;GO:0010181|FMN binding,,,,,,,,Down,0.000285532,Yes,Down,0.000285532,Yes,Down,0.165001,No
Ophio5|2553.t1,,393.101,403.351,588.411,PF01284.18|MARVEL,GO:0016020|membrane,,,,4,,,,Up,0.930546,No,Up,0.0811965,No,Up,0.111637,No
Ophio5|2554.t1,,115.39,77.3347,86.9598,,,,,,4,,,,Down,0.0999616,No,Down,0.24286,No,Up,0.675542,No
Ophio5|2555.t1,,72.5231,41.8241,50.3438,PF01866.12|Diphthamide_syn,GO:0005737|cytoplasm;GO:0017183|peptidyl-diphthamide biosynthetic process from peptidyl-histidine,,,,,,,,Down,0.0117917,No,Down,0.111715,No,Up,0.452575,No
Ophio5|2556.t1,,16.7512,72.8915,34.3706,PF00488.16|MutS_V;PF05192.13|MutS_III;PF01624.15|MutS_I;PF05188.12|MutS_II;PF05190.13|MutS_IV,GO:0006298|mismatch repair;GO:0005524|ATP binding;GO:0030983|mismatched DNA binding,,,,,,,,Up,0.000285532,Yes,Up,0.00121735,Yes,Down,0.00682395,Yes
Ophio5|2557.t1,,10.3142,4.37906,12.5967,PF01083.17|Cutinase,GO:0016787|hydrolase activity;GO:0008152|metabolic process,,SignalP: has predicted secretion signal,,,,,,Down,0.0277171,Yes,Up,0.595258,No,Up,0.00481026,Yes
Ophio5|2558.t1,,60.853,438.284,227.143,PF12588.3|PSDC;PF02666.10|PS_Dcarbxylase,GO:0004609|phosphatidylserine decarboxylase activity;GO:0008654|phospholipid biosynthetic process,,SignalP: has predicted secretion signal,,,,,,Up,0.000285532,Yes,Up,0.000285532,Yes,Down,0.118989,No
Ophio5|2559.t1,,50.9901,33.8169,7.22048,,,,,,10,,,,Down,0.140522,No,Down,0.000285532,Yes,Down,0.000285532,Yes
Ophio5|256.t1,,35.2404,29.87,34.0781,PF08491.5|SE;PF01494.14|FAD_binding_3;PF01266.19|DAO;PF13450.1|NAD_binding_8,GO:0016491|oxidoreductase activity;GO:0016021|integral component of membrane;GO:0055114|oxidation-reduction process;GO:0050660|flavin adenine dinucleotide binding;GO:0004506|squalene monooxygenase activity,,,,2,,,,Down,0.52096,No,Down,0.911401,No,Up,0.631496,No
Ophio5|2560.t1,,1.07856,1.83775,0.347563,PF00106.20|adh_short;PF08659.5|KR,GO:0016491|oxidoreductase activity;GO:0008152|metabolic process,,SignalP: has predicted secretion signal,,2,,,,Up,0.367037,No,Down,1,No,Down,0.0551812,No
Ophio5|2561.t1,,11.675,5.33127,6.84645,,,,,,6,,,,Down,0.0665364,No,Down,0.127842,No,Up,0.58815,No
Ophio5|2562.t1,,43.4769,24.7397,54.8383,PF01040.13|UbiA,GO:0004659|prenyltransferase activity;GO:0016021|integral component of membrane,,,,8,,,,Down,0.0209229,No,Up,0.335599,No,Up,0.000535012,Yes
Ophio5|2563.t1,,6.13701,188.301,65.5602,,,,,,,,,,Up,0.000285532,Yes,Up,0.000285532,Yes,Down,0.000285532,Yes
Ophio5|2564.t1,,19.1972,170.341,19.3562,PF13520.1|AA_permease_2;PF00324.16|AA_permease,GO:0003333|amino acid transmembrane transport;GO:0006810|transport;GO:0055085|transmembrane transport;GO:0016020|membrane;GO:0015171|amino acid transmembrane transporter activity,,,,12,,,,Up,0.000285532,Yes,Up,0.981386,No,Down,0.000285532,Yes
Ophio5|2565.t1,,54.2013,105.48,53.8386,PF00171.17|Aldedh,GO:0016491|oxidoreductase activity;GO:0055114|oxidation-reduction process;GO:0008152|metabolic process,,,,,,,,Up,0.00411343,No,Down,0.981386,No,Down,0.00243641,No
Ophio5|2566.t1,,96.5295,67.218,73.6027,PF12697.2|Abhydrolase_6;PF12695.2|Abhydrolase_5,,,,,,S09X,,,Down,0.120289,No,Down,0.243471,No,Up,0.734543,No
Ophio5|2567.t1,,25.8105,16.1508,17.9517,,,,,,,,,,Down,0.231347,No,Down,0.362422,No,Up,0.830496,No
Ophio5|2568.t1,,33.9438,19.4679,24.3285,,,,,,,,,,Down,0.194989,No,Down,0.441673,No,Up,0.643046,No
Ophio5|2569.t1,,0.137772,0.104473,0.0794269,,,,SignalP: has predicted secretion signal,,,,,,Down,1,No,Down,1,No,Down,1,No
Ophio5|257.t1,,40.6528,30.6291,51.4191,PF00535.21|Glycos_transf_2;PF13641.1|Glyco_tranf_2_3,,,SignalP: has predicted secretion signal,,1,,,,Down,0.28031,No,Up,0.352088,No,Up,0.0297099,No
Ophio5|2570.t1,,0,0,0,,,,SignalP: has predicted secretion signal; SSP: small secreted protein,,,,,,=,1,No,=,1,No,=,1,No
Ophio5|2571.t1,,86.0979,136.53,110.195,PF10510.4|PIG-S,GO:0042765|GPI-anchor transamidase complex;GO:0016255|attachment of GPI anchor to protein,,,,2,,,,Up,0.0455321,No,Up,0.307222,No,Down,0.400631,No
Ophio5|2572.t1,,13.9736,16.3795,13.4067,,,,,,1,,,,Up,0.636577,No,Down,0.911765,No,Down,0.551464,No
Ophio5|2573.t1,,0.501318,0.592387,0.314881,,,,SignalP: has predicted secretion signal,,,,,,Up,1,No,Down,1,No,Down,1,No
Ophio5|2574.t1,,47.9389,135.066,72.8252,PF00501.23|AMP-binding;PF13193.1|AMP-binding_C,GO:0003824|catalytic activity;GO:0008152|metabolic process,,,,,,,,Up,0.000285532,Yes,Up,0.0648595,No,Down,0.00934678,No
Ophio5|2575.t1,,70.769,85.8544,101.915,PF01008.12|IF-2B,GO:0044237|cellular metabolic process,,,,,,,,Up,0.421525,No,Up,0.103454,No,Up,0.493502,No
Ophio5|2576.t1,,468.445,218.281,276.852,,,,SignalP: has predicted secretion signal,,2,,,,Down,0.000997454,Yes,Down,0.0254854,No,Up,0.39197,No
Ophio5|2577.t1,,19.1127,53.0167,38.8236,PF12449.3|DUF3684,,,,,,,,,Up,0.000285532,Yes,Up,0.000770107,Yes,Down,0.219527,No
Ophio5|2578.t1,,34.788,63.734,42.527,PF10159.4|MMtag,,,,,,,,,Up,0.0163513,No,Up,0.495764,No,Down,0.110198,No
Ophio5|2579.t1,,23.8163,29.8657,24.5878,PF04934.9|Med6,GO:0016592|mediator complex;GO:0001104|RNA polymerase II transcription cofactor activity;GO:0006357|regulation of transcription from RNA polymerase II promoter,,,,,,,,Up,0.451735,No,Up,0.927545,No,Down,0.532636,No
Ophio5|258.t1,,18.4312,190.438,154.386,,,,,,,,,,Up,0.000285532,Yes,Up,0.000285532,Yes,Down,0.495477,No
Ophio5|2580.t1,,10.3276,9.24192,17.5512,PF04408.18|HA2;PF07717.11|OB_NTP_bind;PF00271.26|Helicase_C;PF00270.24|DEAD,GO:0003676|nucleic acid binding;GO:0004386|helicase activity;GO:0005524|ATP binding,,,,,,,,Down,0.706303,No,Up,0.0221115,No,Up,0.00650469,No
Ophio5|2581.t1,,40.5932,50.8768,68.142,,,,,,,,,,Up,0.474656,No,Up,0.0639263,No,Up,0.309918,No
Ophio5|2582.t1,,118.984,104.843,96.8924,PF00149.23|Metallophos,GO:0016787|hydrolase activity,,,,,,,,Down,0.62976,No,Down,0.406748,No,Down,0.778587,No
Ophio5|2583.t1,,31.1643,14.7366,6.15282,PF13561.1|adh_short_C2;PF00106.20|adh_short;PF08659.5|KR,GO:0016491|oxidoreductase activity;GO:0008152|metabolic process,,,,,,,,Down,0.0113588,Yes,Down,0.000285532,Yes,Down,0.0151196,Yes
Ophio5|2584.t1,,407.115,350.526,495.725,PF02668.11|TauD;PF06155.7|DUF971,GO:0016491|oxidoreductase activity;GO:0055114|oxidation-reduction process,,,,,,,,Down,0.625597,No,Up,0.505905,No,Up,0.223378,No
Ophio5|2585.t1,,25.9202,36.9838,30.0062,PF00443.24|UCH,GO:0006511|ubiquitin-dependent protein catabolic process,,,,,C19,,,Up,0.140928,No,Up,0.585871,No,Down,0.407576,No
Ophio5|2586.t1,,5.08579,0,1.83867,,,,,,,,,,Down,0.0177077,Yes,Down,0.515198,No,Up,1,No
Ophio5|2587.t1,,233.163,37.8708,45.0269,PF03151.11|TPT,,,,,11,,,,Down,0.000285532,Yes,Down,0.000285532,Yes,Up,0.515758,No
Ophio5|2588.t1,,17.4122,57.2867,18.7263,,,,,,,,,,Up,0.000285532,Yes,Up,0.815924,No,Down,0.000285532,Yes
Ophio5|2589.t1,,38.7696,21.8852,26.7653,PF04658.8|TAFII55_N,GO:0006367|transcription initiation from RNA polymerase II promoter;GO:0005669|transcription factor TFIID complex,,,,,,,,Down,0.0144152,No,Down,0.12141,No,Up,0.453272,No
Ophio5|259.t1,,206.946,179.16,128.791,PF01813.12|ATP-synt_D,"GO:0042626|ATPase activity, coupled to transmembrane movement of substances",,,,,,,,Down,0.566652,No,Down,0.0364399,No,Down,0.153477,No
Ophio5|2590.t1,,4.68283,13.9301,9.45186,,,,,,,,,,Up,0.00357329,Yes,Up,0.0574066,No,Down,0.263832,No
Ophio5|2591.t1,,9.69798,6.26794,3.87021,PF11274.3|DUF3074,,,,,,,,,Down,0.221193,No,Down,0.0131351,Yes,Down,0.225965,No
Ophio5|2592.t1,,67.5161,64.9124,60.2405,PF00067.17|p450,"GO:0005506|iron ion binding;GO:0055114|oxidation-reduction process;GO:0016705|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen;GO:0020037|heme binding",,,,3,,,,Down,0.893697,No,Down,0.669003,No,Down,0.790494,No
Ophio5|2593.t1,,205.792,126.904,89.608,,,,,,1,,,,Down,0.039556,No,Down,0.000285532,Yes,Down,0.142684,No
Ophio5|2594.t1,,338.954,349.169,461.169,PF00076.17|RRM_1;PF00076.17|RRM_1;PF14259.1|RRM_6;PF14259.1|RRM_6;PF13893.1|RRM_5;PF13893.1|RRM_5,GO:0003676|nucleic acid binding,,,,,,,,Up,0.932846,No,Up,0.303599,No,Up,0.356391,No
Ophio5|2595.t1,,262.48,221.464,227.008,,,,,,,,,,Down,0.492371,No,Down,0.562333,No,Up,0.931164,No
Ophio5|2596.t1,,128.303,148.9,263.701,PF08561.5|Ribosomal_L37;PF08561.5|Ribosomal_L37,,,,,,,,,Up,0.640314,No,Up,0.00357329,Yes,Up,0.0248443,No
Ophio5|2597.t1,,59.5641,66.5923,49.2395,PF02205.15|WH2,GO:0003779|actin binding,,,,,,,,Up,0.668772,No,Down,0.430932,No,Down,0.190874,No
Ophio5|2598.t1,,57.0472,51.6423,65.1092,,,,,,2,,,,Down,0.715085,No,Up,0.604881,No,Up,0.335374,No
Ophio5|2599.t1,,22.7472,89.5755,36.2004,,,,,,,,,,Up,0.000285532,Yes,Up,0.0408986,No,Down,0.000535012,Yes
Ophio5|26.t1,,0.422072,11.301,17.9951,,,,SignalP: has predicted secretion signal,,,,,,Up,0.000770107,Yes,Up,0.000770107,Yes,Up,0.124192,No
Ophio5|260.t1,,255.118,198.382,192.39,PF00076.17|RRM_1;PF00076.17|RRM_1;PF14259.1|RRM_6;PF14259.1|RRM_6;PF13893.1|RRM_5,GO:0003676|nucleic acid binding,,,,,,,,Down,0.299818,No,Down,0.238479,No,Down,0.915083,No
Ophio5|2600.t1,,0.894426,3.94243,1.00482,PF00106.20|adh_short;PF07993.7|NAD_binding_4,GO:0016491|oxidoreductase activity;GO:0008152|metabolic process,,,,,,,,Up,0.0102906,No,Up,1,No,Down,0.00965978,No
Ophio5|2601.t1,,16.7319,11.3725,16.0307,,,,SignalP: has predicted secretion signal,,1,,,,Down,0.287642,No,Down,0.921216,No,Up,0.379818,No
Ophio5|2602.t1,,1.45359,0,0,,,,,,,,,,Down,1,No,Down,1,No,=,1,No
Ophio5|2603.t1,,138.483,31.2616,54.201,PF00191.15|Annexin;PF00191.15|Annexin;PF00191.15|Annexin,GO:0005544|calcium-dependent phospholipid binding;GO:0005509|calcium ion binding,,,,,,,,Down,0.000285532,Yes,Down,0.000285532,Yes,Up,0.0189472,No
Ophio5|2604.t1,,0.949817,2.16677,4.22133,PF06985.6|HET,,,,,,,,,Up,0.0174422,No,Up,0.000285532,Yes,Up,0.0244487,No
Ophio5|2605.t1,,0,0,0,PF01565.18|FAD_binding_4,GO:0055114|oxidation-reduction process;GO:0016491|oxidoreductase activity;GO:0050660|flavin adenine dinucleotide binding;GO:0008762|UDP-N-acetylmuramate dehydrogenase activity,,SignalP: has predicted secretion signal,,,,,,=,1,No,=,1,No,=,1,No
Ophio5|2606.t1,,1.1656,0.624341,0.811268,PF00082.17|Peptidase_S8;PF06280.7|DUF1034,GO:0016020|membrane;GO:0005618|cell wall;GO:0006508|proteolysis;GO:0004252|serine-type endopeptidase activity,,SignalP: has predicted secretion signal,,,S08A,,,Down,1,No,Down,1,No,Up,1,No
Ophio5|2607.t1,,0,1.14901,0,,,,SignalP: has predicted secretion signal; SSP: small secreted protein,,,,,,Up,1,No,=,1,No,Down,1,No
Ophio5|2608.t1,,142.322,125.999,105.831,PF00365.15|PFK;PF00365.15|PFK,GO:0003872|6-phosphofructokinase activity;GO:0006096|glycolytic process;GO:0005945|6-phosphofructokinase complex,,,,,,,,Down,0.671102,No,Down,0.249454,No,Down,0.530977,No
Ophio5|2609.t1,,3.67003,1.44303,1.95876,PF00753.22|Lactamase_B,GO:0016787|hydrolase activity,,,,,,,,Down,0.0561154,No,Down,0.172833,No,Up,0.587986,No
Ophio5|261.t1,,11.906,7.19352,5.22565,,,,,,,,,,Down,0.0846476,No,Down,0.00568091,Yes,Down,0.343785,No
Ophio5|2610.t1,,125.495,53.211,50.8889,,,,,,,,,,Down,0.000285532,Yes,Down,0.000285532,Yes,Down,0.871536,No
Ophio5|2611.t1,,115.13,163.696,109.904,PF00682.14|HMGL-like;PF08502.5|LeuA_dimer,GO:0009098|leucine biosynthetic process;GO:0003852|2-isopropylmalate synthase activity;GO:0003824|catalytic activity,,,,,,,,Up,0.168692,No,Down,0.88089,No,Down,0.117531,No
Ophio5|2612.t1,,0.0711002,0.379311,0.153138,,,,SignalP: has predicted secretion signal,,,,,,Up,1,No,Up,1,No,Down,1,No
Ophio5|2613.t1,,1.19585,29.5522,152.857,,,,SignalP: has predicted secretion signal,,1,,,,Up,0.000285532,Yes,Up,0.000285532,Yes,Up,0.000285532,Yes
Ophio5|2614.t1,,9.53335,0.908535,0.555678,,,,,,,,,,Down,0.120887,No,Down,0.37484,No,Down,1,No
Ophio5|2615.t1,,14.4416,6.21571,5.61138,PF00704.23|Glyco_hydro_18,"GO:0005975|carbohydrate metabolic process;GO:0004553|hydrolase activity, hydrolyzing O-glycosyl compounds",,SignalP: has predicted secretion signal,,,,,,Down,0.0116538,Yes,Down,0.00463862,Yes,Down,0.817883,No
Ophio5|2616.t1,,40.7776,15.0673,48.1202,PF13398.1|Peptidase_M50B,,,,,7,,,,Down,0.000997454,Yes,Up,0.571489,No,Up,0.000285532,Yes
Ophio5|2617.t1,,30.8095,55.4623,17.994,,,,,,,,,,Up,0.0408986,No,Down,0.0849716,No,Down,0.000285532,Yes
Ophio5|2618.t1,,43.2196,44.4888,35.8458,,,,,,,,,,Up,0.949777,No,Down,0.650205,No,Down,0.59352,No
Ophio5|2619.t1,,42.546,34.3483,25.8922,PF13230.1|GATase_4;PF13522.1|GATase_6;PF00310.16|GATase_2,GO:0008152|metabolic process,,,,,,,,Down,0.425449,No,Down,0.0552742,No,Down,0.31595,No
Ophio5|262.t1,,23.9679,1.26367,3.81944,,,,,,1,,,,Down,0.015407,Yes,Down,0.000770107,Yes,Up,0.144424,No
Ophio5|2620.t1,,16.9064,46.9229,18.1024,PF00400.27|WD40;PF00400.27|WD40;PF00400.27|WD40,GO:0005515|protein binding,,,,,,,,Up,0.000285532,Yes,Up,0.822497,No,Down,0.000285532,Yes
Ophio5|2621.t1,,17.586,18.7977,14.855,,,,,,1,,,,Up,0.844423,No,Down,0.605833,No,Down,0.450389,No
Ophio5|2622.t1,,127.379,194.385,153.079,PF06027.7|DUF914;PF08449.6|UAA,GO:0006810|transport;GO:0016021|integral component of membrane;GO:0055085|transmembrane transport,,,,9,,,,Up,0.103023,No,Up,0.463725,No,Down,0.37442,No
Ophio5|2623.t1,,0.324208,0.416417,0.292913,PF04479.8|RTA1,GO:0016021|integral component of membrane;GO:0006950|response to stress,,,,7,,,,Up,1,No,Down,1,No,Down,1,No
Ophio5|2624.t1,,60.9497,26.2013,27.3214,,,,,,,,,,Down,0.00121735,Yes,Down,0.000997454,Yes,Up,0.907651,No
Ophio5|2625.t1,,0.749363,0,0.204304,,,,,,,,,,Down,1,No,Down,1,No,Up,1,No
Ophio5|2626.t1,,0,0,0,,,,SignalP: has predicted secretion signal; SSP: small secreted protein,,,,,,=,1,No,=,1,No,=,1,No
Ophio5|2627.t1,,0,0,0,,,,,,6,,,,=,1,No,=,1,No,=,1,No
Ophio5|2628.t1,,213.921,184.62,156.27,PF00620.22|RhoGAP,GO:0007165|signal transduction,,,,,,,,Down,0.668023,No,Down,0.332188,No,Down,0.623049,No
Ophio5|2629.t1,,30.7761,80.3758,47.4524,,,,,,,,,,Up,0.000285532,Yes,Up,0.162691,No,Down,0.0675231,No
Ophio5|263.t1,,75.2515,93.6748,82.3754,PF12708.2|Pectate_lyase_3;PF12708.2|Pectate_lyase_3,,,SignalP: has predicted secretion signal,,,,,,Up,0.497449,No,Up,0.745519,No,Down,0.713291,No
Ophio5|2630.t1,,9.67864,6.4392,10.8474,,,,,,,,,,Down,0.393566,No,Up,0.817883,No,Up,0.265648,No
Ophio5|2631.t1,,18.7492,27.8183,27.4382,,,,SignalP: has predicted secretion signal,,,,,,Up,0.127437,No,Up,0.13191,No,Down,0.965958,No
Ophio5|2632.t1,,44.7751,32.6015,31.2756,PF00388.14|PI-PLC-X,,,,,,,,,Down,0.185637,No,Down,0.127687,No,Down,0.891819,No
Ophio5|2633.t1,,28.3071,12.8532,15.8359,,,,,,,,,,Down,0.162173,No,Down,0.281336,No,Up,0.759045,No
Ophio5|2634.t1,,131.879,96.0498,80.9344,,,,SignalP: has predicted secretion signal; SSP: small secreted protein,,,,,,Down,0.359506,No,Down,0.133144,No,Down,0.649906,No
Ophio5|2635.t1,,332.374,251.292,196.791,,,,,,,,,,Down,0.251783,No,Down,0.0197421,No,Down,0.303357,No
Ophio5|2636.t1,,6.47838,0.947386,1.9152,,,,SignalP: has predicted secretion signal,,,,,,Down,0.000285532,Yes,Down,0.000285532,Yes,Up,0.0789386,No
Ophio5|2637.t1,,46.7355,194.583,197.741,PF01575.14|MaoC_dehydratas;PF13452.1|MaoC_dehydrat_N,GO:0016491|oxidoreductase activity;GO:0008152|metabolic process,,,,,,,,Up,0.000285532,Yes,Up,0.000285532,Yes,Up,0.958215,No
Ophio5|2638.t1,,130.142,59.1534,75.4377,PF01302.20|CAP_GLY;PF00560.28|LRR_1,GO:0005515|protein binding,,,,,,,,Down,0.000285532,Yes,Down,0.0162188,No,Up,0.310619,No
Ophio5|2639.t1,,30.7374,47.68,42.25,PF00400.27|WD40;PF00400.27|WD40,GO:0005515|protein binding,,,,,,,,Up,0.0575035,No,Up,0.16547,No,Down,0.645502,No
Ophio5|264.t1,,20.7232,11.2727,9.86092,,,,,,,,,,Down,0.130153,No,Down,0.0531262,No,Down,0.792356,No
Ophio5|2640.t1,,226.528,312.219,403.172,PF05680.7|ATP-synt_E,"GO:0015986|ATP synthesis coupled proton transport;GO:0015078|hydrogen ion transmembrane transporter activity;GO:0000276|mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)",,,,,,,,Up,0.248114,No,Up,0.0196205,No,Up,0.323912,No
Ophio5|2641.t1,,138.302,105.949,149.999,PF02516.9|STT3,GO:0006486|protein glycosylation;GO:0016020|membrane;GO:0004576|oligosaccharyl transferase activity,,,,11,,,,Down,0.33307,No,Up,0.789027,No,Up,0.200368,No
Ophio5|2642.t1,,38.5173,54.2543,58.9071,,,,,,,,,,Up,0.144592,No,Up,0.0618509,No,Up,0.768871,No
Ophio5|2643.t1,,7.54049,4.98969,7.40966,PF03221.11|HTH_Tnp_Tc5;PF04218.8|CENP-B_N,GO:0003677|DNA binding,,,"Centromere protein B, DNA-binding region",,,,,Down,0.236871,No,Down,0.963157,No,Up,0.257827,No
Ophio5|2644.t1,,5.39487,2.09243,4.8645,,,,,,1,,,,Down,0.104921,No,Down,0.865019,No,Up,0.157257,No
Ophio5|2645.t1,,80.1708,155.479,114.96,PF01467.21|CTP_transf_2,GO:0003824|catalytic activity;GO:0009058|biosynthetic process,,,,,,,,Up,0.0087289,No,Up,0.115637,No,Down,0.243156,No
Ophio5|2646.t1,,65.9697,57.4517,40.9711,,,,,,,,,,Down,0.585547,No,Down,0.039556,No,Down,0.160453,No
Ophio5|2647.t1,,54.5293,51.0443,68.2552,PF00472.15|RF-1;PF03462.13|PCRF,"GO:0003747|translation release factor activity;GO:0005737|cytoplasm;GO:0016149|translation release factor activity, codon specific;GO:0006415|translational termination",,,,,,,,Down,0.805144,No,Up,0.329554,No,Up,0.20725,No
Ophio5|2648.t1,,0.169937,0.494463,0,PF00199.14|Catalase,GO:0004096|catalase activity;GO:0055114|oxidation-reduction process;GO:0020037|heme binding,,,,,,,,Up,1,No,Down,1,No,Down,1,No
Ophio5|2649.t1,,0.0230135,0.178223,0.0337006,PF05577.7|Peptidase_S28,GO:0006508|proteolysis;GO:0008236|serine-type peptidase activity,,,,1,S28,,,Up,1,No,Up,1,No,Down,1,No
Ophio5|265.t1,,39.1332,25.3408,21.5857,,,,,,,,,,Down,0.166435,No,Down,0.0544155,No,Down,0.678699,No
Ophio5|2650.t1,,1.57128,40.9733,43.9807,PF01019.16|G_glu_transpept,GO:0006749|glutathione metabolic process;GO:0003840|gamma-glutamyltransferase activity,,,,,T03,,,Up,0.000285532,Yes,Up,0.000285532,Yes,Up,0.804472,No
Ophio5|2651.t1,,2.8226,7.47107,5.44395,PF02535.17|Zip,GO:0030001|metal ion transport;GO:0046873|metal ion transmembrane transporter activity;GO:0016020|membrane;GO:0055085|transmembrane transport,,,,7,,,,Up,0.0186936,Yes,Up,0.0978434,No,Down,0.455627,No
Ophio5|2652.t1,,40.4103,42.7158,44.1217,PF08450.7|SGL;PF03088.11|Str_synth,GO:0016844|strictosidine synthase activity;GO:0009058|biosynthetic process,,,,,,,,Up,0.858858,No,Up,0.764754,No,Up,0.921655,No
Ophio5|2653.t1,,1.37863,3.88643,2.27883,,,,,,5,,,,Up,0.0291094,No,Up,0.326083,No,Down,0.244634,No
Ophio5|2654.t1,,32.4825,7.41249,2.74874,,,,,,1,,,,Down,0.000285532,Yes,Down,0.000285532,Yes,Down,0.00698249,Yes
Ophio5|2655.t1,,58.8449,53.8169,23.3938,PF00135.23|COesterase;PF07859.8|Abhydrolase_3,GO:0016787|hydrolase activity;GO:0008152|metabolic process,,SignalP: has predicted secretion signal,,,S09X,,,Down,0.784318,No,Down,0.000285532,Yes,Down,0.00223648,Yes
