module_identity,kTotal,enriched_in_module,gene_name,gene_desc,rhy_ocflo_okim,rhy_ocflo_beau_cluster3,rhy_ocflo_beau_cluster4,inf_v_control,abs_log2FC,control_rhy24,inf_rhy24,signalP,SSP,TMHMM,arb2_gene,GOs,pfams,sc16a_homolog,BH_pval,control_pval,inf_pval
OC1,145.08,Fungal_trans,GQ602_000498,C6 zinc finger domain containing protein,yes,no,no,NA,0.072117675,yes,NA,NA,NA,NA,Ophcf2|00498,"GO:0009889|regulation of biosynthetic process; GO:0018130|heterocycle biosynthetic process; GO:0005575|cellular_component; GO:0097659|nucleic acid-templated transcription; GO:0097159|organic cyclic compound binding; GO:0051252|regulation of RNA metabolic process; GO:0019222|regulation of metabolic process; GO:0003674|molecular_function; GO:0031323|regulation of cellular metabolic process; GO:0010556|regulation of macromolecule biosynthetic process; GO:0006351|transcription, DNA-templated; GO:0034654|nucleobase-containing compound biosynthetic process; GO:0071704|organic substance metabolic process; GO:0009987|cellular process; GO:0140110|transcription regulator activity; GO:0044424|intracellular part; GO:0005488|binding; GO:0008270|zinc ion binding; GO:0043170|macromolecule metabolic process; GO:0043229|intracellular organelle; GO:0044237|cellular metabolic process; GO:0006807|nitrogen compound metabolic process; GO:0080090|regulation of primary metabolic process; GO:0043227|membrane-bounded organelle; GO:0044260|cellular macromolecule metabolic process; GO:0043167|ion binding; GO:0044271|cellular nitrogen compound biosynthetic process; GO:0019438|aromatic compound biosynthetic process; GO:0050789|regulation of biological process; GO:0006725|cellular aromatic compound metabolic process; GO:0009059|macromolecule biosynthetic process; GO:0046483|heterocycle metabolic process; GO:0003676|nucleic acid binding; GO:1901363|heterocyclic compound binding; GO:0044464|cell part; GO:0051171|regulation of nitrogen compound metabolic process; GO:0019219|regulation of nucleobase-containing compound metabolic process; GO:0006139|nucleobase-containing compound metabolic process; GO:0003677|DNA binding; GO:0034645|cellular macromolecule biosynthetic process; GO:0010468|regulation of gene expression; GO:0043231|intracellular membrane-bounded organelle; GO:1903506|regulation of nucleic acid-templated transcription; GO:0005634|nucleus; GO:0043226|organelle; GO:0043169|cation binding; GO:0000981|DNA-binding transcription factor activity, RNA polymerase II-specific; GO:0034641|cellular nitrogen compound metabolic process; GO:0044238|primary metabolic process; GO:0003700|DNA-binding transcription factor activity; GO:0031326|regulation of cellular biosynthetic process; GO:0009058|biosynthetic process; GO:1901362|organic cyclic compound biosynthetic process; GO:0065007|biological regulation; GO:0046872|metal ion binding; GO:2001141|regulation of RNA biosynthetic process; GO:0050794|regulation of cellular process; GO:0008150|biological_process; GO:0044249|cellular biosynthetic process; GO:1901360|organic cyclic compound metabolic process; GO:0090304|nucleic acid metabolic process; GO:0046914|transition metal ion binding; GO:1901576|organic substance biosynthetic process; GO:2000112|regulation of cellular macromolecule biosynthetic process; GO:0016070|RNA metabolic process; GO:0006355|regulation of transcription, DNA-templated; GO:0008152|metabolic process; GO:0060255|regulation of macromolecule metabolic process; GO:0032774|RNA biosynthetic process;",PF04082|Fungal_trans; PF00172|Zn_clus;,Ophio5|4179,0.439183603,0.021846184,NA
OC1,104.21,Fungal_trans,GQ602_004181,positive regulator of purine utilization,no,no,no,down,3.161885999,NA,NA,NA,NA,NA,Ophcf2|04181,"GO:0009889|regulation of biosynthetic process; GO:0018130|heterocycle biosynthetic process; GO:0005575|cellular_component; GO:0097659|nucleic acid-templated transcription; GO:0097159|organic cyclic compound binding; GO:0051252|regulation of RNA metabolic process; GO:0019222|regulation of metabolic process; GO:0003674|molecular_function; GO:0031323|regulation of cellular metabolic process; GO:0010556|regulation of macromolecule biosynthetic process; GO:0006351|transcription, DNA-templated; GO:0034654|nucleobase-containing compound biosynthetic process; GO:0071704|organic substance metabolic process; GO:0009987|cellular process; GO:0140110|transcription regulator activity; GO:0044424|intracellular part; GO:0005488|binding; GO:0008270|zinc ion binding; GO:0043170|macromolecule metabolic process; GO:0043229|intracellular organelle; GO:0044237|cellular metabolic process; GO:0006807|nitrogen compound metabolic process; GO:0080090|regulation of primary metabolic process; GO:0043227|membrane-bounded organelle; GO:0044260|cellular macromolecule metabolic process; GO:0043167|ion binding; GO:0044271|cellular nitrogen compound biosynthetic process; GO:0019438|aromatic compound biosynthetic process; GO:0050789|regulation of biological process; GO:0006725|cellular aromatic compound metabolic process; GO:0009059|macromolecule biosynthetic process; GO:0046483|heterocycle metabolic process; GO:0003676|nucleic acid binding; GO:1901363|heterocyclic compound binding; GO:0044464|cell part; GO:0051171|regulation of nitrogen compound metabolic process; GO:0019219|regulation of nucleobase-containing compound metabolic process; GO:0006139|nucleobase-containing compound metabolic process; GO:0003677|DNA binding; GO:0034645|cellular macromolecule biosynthetic process; GO:0010468|regulation of gene expression; GO:0043231|intracellular membrane-bounded organelle; GO:1903506|regulation of nucleic acid-templated transcription; GO:0005634|nucleus; GO:0043226|organelle; GO:0043169|cation binding; GO:0000981|DNA-binding transcription factor activity, RNA polymerase II-specific; GO:0034641|cellular nitrogen compound metabolic process; GO:0044238|primary metabolic process; GO:0003700|DNA-binding transcription factor activity; GO:0031326|regulation of cellular biosynthetic process; GO:0009058|biosynthetic process; GO:1901362|organic cyclic compound biosynthetic process; GO:0065007|biological regulation; GO:0046872|metal ion binding; GO:2001141|regulation of RNA biosynthetic process; GO:0050794|regulation of cellular process; GO:0008150|biological_process; GO:0044249|cellular biosynthetic process; GO:1901360|organic cyclic compound metabolic process; GO:0090304|nucleic acid metabolic process; GO:0046914|transition metal ion binding; GO:1901576|organic substance biosynthetic process; GO:2000112|regulation of cellular macromolecule biosynthetic process; GO:0016070|RNA metabolic process; GO:0006355|regulation of transcription, DNA-templated; GO:0008152|metabolic process; GO:0060255|regulation of macromolecule metabolic process; GO:0032774|RNA biosynthetic process;",PF04082|Fungal_trans; PF00172|Zn_clus;,Ophio5|8382,1.43E-17,NA,NA
OC1,84.33,Fungal_trans,GQ602_001203,C2H2 transcription factor (AmdA),no,no,no,NA,NA,NA,NA,NA,NA,NA,Ophcf2|01203,"GO:0018130|heterocycle biosynthetic process; GO:0005575|cellular_component; GO:0097659|nucleic acid-templated transcription; GO:0097159|organic cyclic compound binding; GO:0003674|molecular_function; GO:0006351|transcription, DNA-templated; GO:0034654|nucleobase-containing compound biosynthetic process; GO:0071704|organic substance metabolic process; GO:0009987|cellular process; GO:0044424|intracellular part; GO:0005488|binding; GO:0008270|zinc ion binding; GO:0043170|macromolecule metabolic process; GO:0043229|intracellular organelle; GO:0044237|cellular metabolic process; GO:0006807|nitrogen compound metabolic process; GO:0043227|membrane-bounded organelle; GO:0044260|cellular macromolecule metabolic process; GO:0043167|ion binding; GO:0044271|cellular nitrogen compound biosynthetic process; GO:0019438|aromatic compound biosynthetic process; GO:0006725|cellular aromatic compound metabolic process; GO:0009059|macromolecule biosynthetic process; GO:0046483|heterocycle metabolic process; GO:0003676|nucleic acid binding; GO:1901363|heterocyclic compound binding; GO:0044464|cell part; GO:0006139|nucleobase-containing compound metabolic process; GO:0003677|DNA binding; GO:0034645|cellular macromolecule biosynthetic process; GO:0043231|intracellular membrane-bounded organelle; GO:0005634|nucleus; GO:0043226|organelle; GO:0043169|cation binding; GO:0034641|cellular nitrogen compound metabolic process; GO:0044238|primary metabolic process; GO:0009058|biosynthetic process; GO:1901362|organic cyclic compound biosynthetic process; GO:0046872|metal ion binding; GO:0008150|biological_process; GO:0044249|cellular biosynthetic process; GO:1901360|organic cyclic compound metabolic process; GO:0090304|nucleic acid metabolic process; GO:0046914|transition metal ion binding; GO:1901576|organic substance biosynthetic process; GO:0016070|RNA metabolic process; GO:0008152|metabolic process; GO:0032774|RNA biosynthetic process;",PF04082|Fungal_trans;,Ophio5|689,NA,NA,NA
OC1,82.3,Fungal_trans,GQ602_005893,C6 transcription factor FacB,no,no,no,NA,0.061639742,NA,NA,NA,NA,NA,Ophcf2|05893,"GO:0009889|regulation of biosynthetic process; GO:0018130|heterocycle biosynthetic process; GO:0005575|cellular_component; GO:0097659|nucleic acid-templated transcription; GO:0097159|organic cyclic compound binding; GO:0051252|regulation of RNA metabolic process; GO:0019222|regulation of metabolic process; GO:0003674|molecular_function; GO:0031323|regulation of cellular metabolic process; GO:0010556|regulation of macromolecule biosynthetic process; GO:0006351|transcription, DNA-templated; GO:0034654|nucleobase-containing compound biosynthetic process; GO:0071704|organic substance metabolic process; GO:0009987|cellular process; GO:0140110|transcription regulator activity; GO:0044424|intracellular part; GO:0005488|binding; GO:0008270|zinc ion binding; GO:0043170|macromolecule metabolic process; GO:0043229|intracellular organelle; GO:0044237|cellular metabolic process; GO:0006807|nitrogen compound metabolic process; GO:0080090|regulation of primary metabolic process; GO:0043227|membrane-bounded organelle; GO:0044260|cellular macromolecule metabolic process; GO:0043167|ion binding; GO:0044271|cellular nitrogen compound biosynthetic process; GO:0019438|aromatic compound biosynthetic process; GO:0050789|regulation of biological process; GO:0006725|cellular aromatic compound metabolic process; GO:0009059|macromolecule biosynthetic process; GO:0046483|heterocycle metabolic process; GO:0003676|nucleic acid binding; GO:1901363|heterocyclic compound binding; GO:0044464|cell part; GO:0051171|regulation of nitrogen compound metabolic process; GO:0019219|regulation of nucleobase-containing compound metabolic process; GO:0006139|nucleobase-containing compound metabolic process; GO:0003677|DNA binding; GO:0034645|cellular macromolecule biosynthetic process; GO:0010468|regulation of gene expression; GO:0043231|intracellular membrane-bounded organelle; GO:1903506|regulation of nucleic acid-templated transcription; GO:0005634|nucleus; GO:0043226|organelle; GO:0043169|cation binding; GO:0000981|DNA-binding transcription factor activity, RNA polymerase II-specific; GO:0034641|cellular nitrogen compound metabolic process; GO:0044238|primary metabolic process; GO:0003700|DNA-binding transcription factor activity; GO:0031326|regulation of cellular biosynthetic process; GO:0009058|biosynthetic process; GO:1901362|organic cyclic compound biosynthetic process; GO:0065007|biological regulation; GO:0046872|metal ion binding; GO:2001141|regulation of RNA biosynthetic process; GO:0050794|regulation of cellular process; GO:0008150|biological_process; GO:0044249|cellular biosynthetic process; GO:1901360|organic cyclic compound metabolic process; GO:0090304|nucleic acid metabolic process; GO:0046914|transition metal ion binding; GO:1901576|organic substance biosynthetic process; GO:2000112|regulation of cellular macromolecule biosynthetic process; GO:0016070|RNA metabolic process; GO:0006355|regulation of transcription, DNA-templated; GO:0008152|metabolic process; GO:0060255|regulation of macromolecule metabolic process; GO:0032774|RNA biosynthetic process;",PF04082|Fungal_trans; PF00172|Zn_clus;,Ophio5|4863,0.711461841,NA,NA
OC1,74.61,Fungal_trans,GQ602_001468,transcription factor TamA,no,no,no,NA,NA,NA,NA,NA,NA,NA,Ophcf2|01468,"GO:0018130|heterocycle biosynthetic process; GO:0005575|cellular_component; GO:0097659|nucleic acid-templated transcription; GO:0097159|organic cyclic compound binding; GO:0003674|molecular_function; GO:0006351|transcription, DNA-templated; GO:0034654|nucleobase-containing compound biosynthetic process; GO:0071704|organic substance metabolic process; GO:0009987|cellular process; GO:0044424|intracellular part; GO:0005488|binding; GO:0008270|zinc ion binding; GO:0043170|macromolecule metabolic process; GO:0043229|intracellular organelle; GO:0044237|cellular metabolic process; GO:0006807|nitrogen compound metabolic process; GO:0043227|membrane-bounded organelle; GO:0044260|cellular macromolecule metabolic process; GO:0043167|ion binding; GO:0044271|cellular nitrogen compound biosynthetic process; GO:0019438|aromatic compound biosynthetic process; GO:0006725|cellular aromatic compound metabolic process; GO:0009059|macromolecule biosynthetic process; GO:0046483|heterocycle metabolic process; GO:0003676|nucleic acid binding; GO:1901363|heterocyclic compound binding; GO:0044464|cell part; GO:0006139|nucleobase-containing compound metabolic process; GO:0003677|DNA binding; GO:0034645|cellular macromolecule biosynthetic process; GO:0043231|intracellular membrane-bounded organelle; GO:0005634|nucleus; GO:0043226|organelle; GO:0043169|cation binding; GO:0034641|cellular nitrogen compound metabolic process; GO:0044238|primary metabolic process; GO:0009058|biosynthetic process; GO:1901362|organic cyclic compound biosynthetic process; GO:0046872|metal ion binding; GO:0008150|biological_process; GO:0044249|cellular biosynthetic process; GO:1901360|organic cyclic compound metabolic process; GO:0090304|nucleic acid metabolic process; GO:0046914|transition metal ion binding; GO:1901576|organic substance biosynthetic process; GO:0016070|RNA metabolic process; GO:0008152|metabolic process; GO:0032774|RNA biosynthetic process;",PF04082|Fungal_trans;,Ophio5|3843,NA,NA,NA
OC1,66.49,Fungal_trans,GQ602_003435,C6 transcription factor,no,no,no,NA,0.572201488,NA,NA,NA,NA,NA,Ophcf2|03435,"GO:0009889|regulation of biosynthetic process; GO:0005575|cellular_component; GO:0018130|heterocycle biosynthetic process; GO:0051252|regulation of RNA metabolic process; GO:0097159|organic cyclic compound binding; GO:0097659|nucleic acid-templated transcription; GO:0019222|regulation of metabolic process; GO:0003674|molecular_function; GO:0031323|regulation of cellular metabolic process; GO:0010556|regulation of macromolecule biosynthetic process; GO:0006351|transcription, DNA-templated; GO:0034654|nucleobase-containing compound biosynthetic process; GO:0071704|organic substance metabolic process; GO:0009987|cellular process; GO:0140110|transcription regulator activity; GO:0044424|intracellular part; GO:0005488|binding; GO:0008270|zinc ion binding; GO:0043170|macromolecule metabolic process; GO:0080090|regulation of primary metabolic process; GO:0043229|intracellular organelle; GO:0044237|cellular metabolic process; GO:0006807|nitrogen compound metabolic process; GO:0044260|cellular macromolecule metabolic process; GO:0043167|ion binding; GO:0044271|cellular nitrogen compound biosynthetic process; GO:0019438|aromatic compound biosynthetic process; GO:0050789|regulation of biological process; GO:0006725|cellular aromatic compound metabolic process; GO:0009059|macromolecule biosynthetic process; GO:0046483|heterocycle metabolic process; GO:0003676|nucleic acid binding; GO:1901363|heterocyclic compound binding; GO:0044464|cell part; GO:0051171|regulation of nitrogen compound metabolic process; GO:0019219|regulation of nucleobase-containing compound metabolic process; GO:0006139|nucleobase-containing compound metabolic process; GO:0003677|DNA binding; GO:0034645|cellular macromolecule biosynthetic process; GO:0010468|regulation of gene expression; GO:1903506|regulation of nucleic acid-templated transcription; GO:0043231|intracellular membrane-bounded organelle; GO:0005634|nucleus; GO:0043226|organelle; GO:0043169|cation binding; GO:0000981|DNA-binding transcription factor activity, RNA polymerase II-specific; GO:0003700|DNA-binding transcription factor activity; GO:0044238|primary metabolic process; GO:0034641|cellular nitrogen compound metabolic process; GO:0016070|RNA metabolic process; GO:0031326|regulation of cellular biosynthetic process; GO:0009058|biosynthetic process; GO:1901362|organic cyclic compound biosynthetic process; GO:0065007|biological regulation; GO:0046872|metal ion binding; GO:2001141|regulation of RNA biosynthetic process; GO:0050794|regulation of cellular process; GO:0008150|biological_process; GO:0044249|cellular biosynthetic process; GO:1901360|organic cyclic compound metabolic process; GO:0090304|nucleic acid metabolic process; GO:0046914|transition metal ion binding; GO:2000112|regulation of cellular macromolecule biosynthetic process; GO:0006355|regulation of transcription, DNA-templated; GO:0043227|membrane-bounded organelle; GO:1901576|organic substance biosynthetic process; GO:0008152|metabolic process; GO:0060255|regulation of macromolecule metabolic process; GO:0032774|RNA biosynthetic process;",PF00172|Zn_clus; PF04082|Fungal_trans;,Ophio5|4102,0.000152425,NA,NA
OC1,137.79,Fungal_trans; zf-C2H2,GQ602_002774,Zinc finger protein,no,no,no,down,1.924278117,NA,NA,NA,NA,NA,Ophcf2|02774,"GO:0018130|heterocycle biosynthetic process; GO:0005575|cellular_component; GO:0097659|nucleic acid-templated transcription; GO:0097159|organic cyclic compound binding; GO:0003674|molecular_function; GO:0006351|transcription, DNA-templated; GO:0034654|nucleobase-containing compound biosynthetic process; GO:0071704|organic substance metabolic process; GO:0009987|cellular process; GO:0044424|intracellular part; GO:0005488|binding; GO:0008270|zinc ion binding; GO:0043170|macromolecule metabolic process; GO:0043229|intracellular organelle; GO:0044237|cellular metabolic process; GO:0006807|nitrogen compound metabolic process; GO:0043227|membrane-bounded organelle; GO:0044260|cellular macromolecule metabolic process; GO:0043167|ion binding; GO:0044271|cellular nitrogen compound biosynthetic process; GO:0019438|aromatic compound biosynthetic process; GO:0006725|cellular aromatic compound metabolic process; GO:0009059|macromolecule biosynthetic process; GO:0046483|heterocycle metabolic process; GO:0003676|nucleic acid binding; GO:1901363|heterocyclic compound binding; GO:0044464|cell part; GO:0006139|nucleobase-containing compound metabolic process; GO:0003677|DNA binding; GO:0034645|cellular macromolecule biosynthetic process; GO:0043231|intracellular membrane-bounded organelle; GO:0005634|nucleus; GO:0043226|organelle; GO:0043169|cation binding; GO:0034641|cellular nitrogen compound metabolic process; GO:0044238|primary metabolic process; GO:0009058|biosynthetic process; GO:1901362|organic cyclic compound biosynthetic process; GO:0046872|metal ion binding; GO:0008150|biological_process; GO:0044249|cellular biosynthetic process; GO:1901360|organic cyclic compound metabolic process; GO:0090304|nucleic acid metabolic process; GO:0046914|transition metal ion binding; GO:1901576|organic substance biosynthetic process; GO:0016070|RNA metabolic process; GO:0008152|metabolic process; GO:0032774|RNA biosynthetic process;",PF04082|Fungal_trans; PF00096|zf-C2H2;,Ophio5|2237,8.13E-09,NA,NA
OC1,129.01,Fungal_trans; zf-C2H2,GQ602_001717,C2H2 transcription factor,no,yes,no,NA,0.0326633,yes,NA,NA,NA,NA,Ophcf2|01717,"GO:0018130|heterocycle biosynthetic process; GO:0005575|cellular_component; GO:0097659|nucleic acid-templated transcription; GO:0097159|organic cyclic compound binding; GO:0003674|molecular_function; GO:0006351|transcription, DNA-templated; GO:0034654|nucleobase-containing compound biosynthetic process; GO:0071704|organic substance metabolic process; GO:0009987|cellular process; GO:0044424|intracellular part; GO:0005488|binding; GO:0008270|zinc ion binding; GO:0043170|macromolecule metabolic process; GO:0043229|intracellular organelle; GO:0044237|cellular metabolic process; GO:0006807|nitrogen compound metabolic process; GO:0043227|membrane-bounded organelle; GO:0044260|cellular macromolecule metabolic process; GO:0043167|ion binding; GO:0044271|cellular nitrogen compound biosynthetic process; GO:0019438|aromatic compound biosynthetic process; GO:0006725|cellular aromatic compound metabolic process; GO:0009059|macromolecule biosynthetic process; GO:0046483|heterocycle metabolic process; GO:0003676|nucleic acid binding; GO:1901363|heterocyclic compound binding; GO:0044464|cell part; GO:0006139|nucleobase-containing compound metabolic process; GO:0003677|DNA binding; GO:0034645|cellular macromolecule biosynthetic process; GO:0043231|intracellular membrane-bounded organelle; GO:0005634|nucleus; GO:0043226|organelle; GO:0043169|cation binding; GO:0034641|cellular nitrogen compound metabolic process; GO:0044238|primary metabolic process; GO:0009058|biosynthetic process; GO:1901362|organic cyclic compound biosynthetic process; GO:0046872|metal ion binding; GO:0008150|biological_process; GO:0044249|cellular biosynthetic process; GO:1901360|organic cyclic compound metabolic process; GO:0090304|nucleic acid metabolic process; GO:0046914|transition metal ion binding; GO:1901576|organic substance biosynthetic process; GO:0016070|RNA metabolic process; GO:0008152|metabolic process; GO:0032774|RNA biosynthetic process;",PF00096|zf-C2H2; PF04082|Fungal_trans;,Ophio5|4832,0.829867324,0.021846184,NA
OC1,280.4,MFS_1,GQ602_001839,membrane protein,no,no,no,up,3.869246999,yes,NA,NA,NA,11;,Ophcf2|01839,GO:0051234|establishment of localization; GO:0005575|cellular_component; GO:0044425|membrane part; GO:0016021|integral component of membrane; GO:0006810|transport; GO:0008150|biological_process; GO:0031224|intrinsic component of membrane; GO:0051179|localization; GO:0055085|transmembrane transport;,PF05978|UNC-93; PF07690|MFS_1;,Ophio5|3667,6.21E-06,0.001787129,NA
OC1,279.31,MFS_1,GQ602_003182,putative transporter MCH4,no,no,no,down,1.91458894,NA,NA,NA,NA,12;,Ophcf2|03182,GO:0051234|establishment of localization; GO:0005575|cellular_component; GO:0044425|membrane part; GO:0016021|integral component of membrane; GO:0006810|transport; GO:0008150|biological_process; GO:0031224|intrinsic component of membrane; GO:0051179|localization; GO:0055085|transmembrane transport;,PF07690|MFS_1;,Ophio5|420,6.78E-13,NA,NA
OC1,227.66,MFS_1,GQ602_004092,chloramphenicol resistance protein,no,no,no,NA,0.566818745,yes,NA,NA,NA,11;,Ophcf2|04092,GO:0051234|establishment of localization; GO:0005575|cellular_component; GO:0044425|membrane part; GO:0016021|integral component of membrane; GO:0006810|transport; GO:0008150|biological_process; GO:0031224|intrinsic component of membrane; GO:0051179|localization; GO:0055085|transmembrane transport;,PF07690|MFS_1;,Ophio5|3755,3.45E-06,0.002997003,NA
OC1,219.7,MFS_1,GQ602_006511,multidrug resistance protein,no,yes,no,down,1.294646714,yes,NA,NA,NA,11;,Ophcf2|06511,GO:0051234|establishment of localization; GO:0005575|cellular_component; GO:0044425|membrane part; GO:0016021|integral component of membrane; GO:0006810|transport; GO:0008150|biological_process; GO:0031224|intrinsic component of membrane; GO:0051179|localization; GO:0055085|transmembrane transport;,PF07690|MFS_1;,Ophio5|7235,1.26E-05,0.000999001,NA
OC1,215.56,MFS_1,GQ602_001823,MFS transporter,no,no,no,NA,0.277890746,NA,NA,NA,NA,11;,Ophcf2|01823,GO:0051234|establishment of localization; GO:0005575|cellular_component; GO:0044425|membrane part; GO:0016021|integral component of membrane; GO:0006810|transport; GO:0008150|biological_process; GO:0031224|intrinsic component of membrane; GO:0051179|localization; GO:0055085|transmembrane transport;,PF06813|Nodulin-like; PF07690|MFS_1;,Ophio5|7902,0.013425139,NA,NA
OC1,207.51,MFS_1,GQ602_000985,drug resistance protein,no,no,no,NA,0.727666582,yes,NA,NA,NA,14;,Ophcf2|00985,GO:0051234|establishment of localization; GO:0005575|cellular_component; GO:0044425|membrane part; GO:0016021|integral component of membrane; GO:0006810|transport; GO:0008150|biological_process; GO:0031224|intrinsic component of membrane; GO:0051179|localization; GO:0055085|transmembrane transport;,PF07690|MFS_1;,Ophio5|5189,0.001640626,0.021846184,NA
OC1,178.12,MFS_1,GQ602_001663,MFS transporter,no,yes,no,NA,0.126943464,yes,NA,NA,NA,12;,Ophcf2|01663,GO:0051234|establishment of localization; GO:0005575|cellular_component; GO:0044425|membrane part; GO:0016021|integral component of membrane; GO:0006810|transport; GO:0008150|biological_process; GO:0031224|intrinsic component of membrane; GO:0051179|localization; GO:0055085|transmembrane transport;,PF07690|MFS_1;,Ophio5|3701,0.685552893,0.021846184,NA
OC1,162.95,MFS_1,GQ602_005958,MFS general substrate transporter,no,no,no,NA,0.63552483,NA,NA,NA,NA,8;,Ophcf2|05958,GO:0051234|establishment of localization; GO:0005575|cellular_component; GO:0044425|membrane part; GO:0016021|integral component of membrane; GO:0006810|transport; GO:0008150|biological_process; GO:0031224|intrinsic component of membrane; GO:0051179|localization; GO:0055085|transmembrane transport;,PF07690|MFS_1;,Ophio5|3509,0.027596265,NA,NA
OC1,133.73,MFS_1,GQ602_001147,MFS transporter,no,no,no,down,1.423022687,yes,NA,NA,NA,12;,Ophcf2|01147,GO:0051234|establishment of localization; GO:0005575|cellular_component; GO:0044425|membrane part; GO:0016021|integral component of membrane; GO:0006810|transport; GO:0008150|biological_process; GO:0031224|intrinsic component of membrane; GO:0051179|localization; GO:0055085|transmembrane transport;,PF12832|MFS_1_like; PF07690|MFS_1;,Ophio5|761,2.18E-06,0.021846184,NA
OC1,121.68,MFS_1,GQ602_002472,Drug resistance protein,no,no,no,NA,0.655040769,NA,NA,NA,NA,14;,Ophcf2|02472,GO:0051234|establishment of localization; GO:0005575|cellular_component; GO:0044425|membrane part; GO:0016021|integral component of membrane; GO:0006810|transport; GO:0008150|biological_process; GO:0031224|intrinsic component of membrane; GO:0051179|localization; GO:0055085|transmembrane transport;,PF07690|MFS_1;,Ophio5|7654,4.10E-05,NA,NA
OC1,119.41,MFS_1,GQ602_005909,Siderochrome-iron transporter Sit1,no,no,no,up,1.554925839,NA,NA,NA,NA,11;,Ophcf2|05909,GO:0051234|establishment of localization; GO:0005575|cellular_component; GO:0044425|membrane part; GO:0016021|integral component of membrane; GO:0006810|transport; GO:0008150|biological_process; GO:0031224|intrinsic component of membrane; GO:0051179|localization; GO:0055085|transmembrane transport;,PF07690|MFS_1;,Ophio5|4842,5.80E-05,NA,NA
OC1,114.73,MFS_1,GQ602_003539,major facilitator superfamily transporter,no,no,no,up,1.040261582,NA,NA,NA,NA,10;,Ophcf2|03539,GO:0051234|establishment of localization; GO:0005575|cellular_component; GO:0044425|membrane part; GO:0016021|integral component of membrane; GO:0006810|transport; GO:0008150|biological_process; GO:0031224|intrinsic component of membrane; GO:0051179|localization; GO:0055085|transmembrane transport;,PF07690|MFS_1;,Ophio5|741,9.69E-06,NA,NA
OC1,103.66,MFS_1,GQ602_003051,"Major facilitator superfamily domain, general substrate transporter",no,no,no,NA,0.95423556,yes,NA,NA,NA,12;,Ophcf2|03051,GO:0051234|establishment of localization; GO:0005575|cellular_component; GO:0044425|membrane part; GO:0016021|integral component of membrane; GO:0006810|transport; GO:0008150|biological_process; GO:0031224|intrinsic component of membrane; GO:0051179|localization; GO:0055085|transmembrane transport;,PF07690|MFS_1;,Ophio5|8341,0.000459985,0.0136888,NA
OC1,98.59,MFS_1,GQ602_003989,related to nicotinamide mononucleotide permease,no,no,no,down,3.20877746,NA,NA,NA,NA,10;,Ophcf2|03989,GO:0051234|establishment of localization; GO:0005575|cellular_component; GO:0044425|membrane part; GO:0016021|integral component of membrane; GO:0006810|transport; GO:0008150|biological_process; GO:0031224|intrinsic component of membrane; GO:0051179|localization; GO:0055085|transmembrane transport;,PF07690|MFS_1;,Ophio5|4237,1.38E-17,NA,NA
OC1,98.52,MFS_1,GQ602_000010,Pantothenate transporter liz1,no,no,no,NA,0.174326188,NA,NA,NA,NA,9;,Ophcf2|00010,GO:0051234|establishment of localization; GO:0005575|cellular_component; GO:0044425|membrane part; GO:0016021|integral component of membrane; GO:0006810|transport; GO:0008150|biological_process; GO:0031224|intrinsic component of membrane; GO:0051179|localization; GO:0055085|transmembrane transport;,PF06779|MFS_4; PF07690|MFS_1;,Ophio5|6921,0.00904185,NA,NA
OC1,83.27,MFS_1,GQ602_005610,AMP deaminase,no,no,no,NA,0.025130386,NA,yes,NA,NA,12;,Ophcf2|05610,GO:0003824|catalytic activity; GO:0051234|establishment of localization; GO:0005575|cellular_component; GO:0016787|hydrolase activity; GO:0044425|membrane part; GO:0003674|molecular_function; GO:0006810|transport; GO:0008150|biological_process; GO:0031224|intrinsic component of membrane; GO:0016021|integral component of membrane; GO:0019239|deaminase activity; GO:0051179|localization; GO:0055085|transmembrane transport;,PF07690|MFS_1; PF00962|A_deaminase;,Ophio5|3042,0.694895019,NA,0.005549528
OC1,75.75,MFS_1,GQ602_000758,Tubulin gamma chain,no,no,no,up,6.823158131,NA,NA,NA,NA,10;,Ophcf2|00758,GO:0051234|establishment of localization; GO:0005575|cellular_component; GO:0044425|membrane part; GO:0016021|integral component of membrane; GO:0006810|transport; GO:0008150|biological_process; GO:0031224|intrinsic component of membrane; GO:0051179|localization; GO:0055085|transmembrane transport;,PF06779|MFS_4; PF07690|MFS_1;,Ophio5|7375,5.87E-13,NA,NA
OC1,75,MFS_1,GQ602_001939,major facilitator superfamily transporter,no,yes,no,NA,0.282850358,NA,NA,NA,NA,11;,Ophcf2|01939,GO:0051234|establishment of localization; GO:0005575|cellular_component; GO:0044425|membrane part; GO:0016021|integral component of membrane; GO:0006810|transport; GO:0008150|biological_process; GO:0031224|intrinsic component of membrane; GO:0051179|localization; GO:0055085|transmembrane transport;,PF07690|MFS_1;,Ophio5|5920,0.059224541,NA,NA
OC1,278.41,MFS_1; Sugar_tr,GQ602_004137,MFS transporter,no,yes,no,down,1.37503786,yes,NA,NA,NA,11;,Ophcf2|04137,GO:0051234|establishment of localization; GO:0005575|cellular_component; GO:0022857|transmembrane transporter activity; GO:0044425|membrane part; GO:0016021|integral component of membrane; GO:0006810|transport; GO:0008150|biological_process; GO:0031224|intrinsic component of membrane; GO:0003674|molecular_function; GO:0051179|localization; GO:0005215|transporter activity; GO:0055085|transmembrane transport;,PF07690|MFS_1; PF00083|Sugar_tr;,Ophio5|7021,3.02E-06,0.002997003,NA
