module_identity,kTotal,enriched_in_module,gene_name,gene_desc,rhy_brain_head_cluster1,for24_nur8,ocflo_UP,ocflo_DOWN,beau_UP,beau_DOWN,rhy24_control,rhy24_ocflo_inf,rhy24_beau_inf,signalP,TMHMM,GOs,pfams
C22,59.19,NA,LOC105255655,prohibitin-2 isoform X1,no,no,no,no,no,no,no,no,no,0,0,GO:0016020|membrane,PF01145|SPFH domain / Band 7 family
C22,59.14,NA,LOC105252840,protein bride of sevenless isoform X1,no,no,no,no,no,no,no,no,no,2,7,GO:0004930|G protein-coupled receptor activity; GO:0007186|G protein-coupled receptor signaling pathway; GO:0016021|integral component of membrane,PF00003|7 transmembrane sweet-taste receptor of 3 GCPR
C22,59.07,NA,LOC112638407,probable chitinase 2,no,no,no,no,no,no,no,no,no,1,0,GO:0005975|carbohydrate metabolic process,PF00704|Glycosyl hydrolases family 18
C22,58.93,NA,LOC105248887,organic cation transporter 1,no,no,no,no,no,yes,no,no,no,0,11,GO:0016021|integral component of membrane; GO:0022857|transmembrane transporter activity; GO:0055085|transmembrane transport,PF00083|Sugar (and other) transporter
C22,58.8,NA,LOC105250844,xaa-Pro dipeptidase,no,no,no,no,no,no,no,no,no,0,0,GO:0004177|aminopeptidase activity; GO:0030145|manganese ion binding,"PF00557|Metallopeptidase family M24; PF05195|Aminopeptidase P, N-terminal domain"
C22,58.68,NA,LOC105258120,dehydrodolichyl diphosphate synthase complex subunit DHDDS,no,no,no,no,no,no,yes,no,no,0,0,"GO:0016765|transferase activity, transferring alkyl or aryl (other than methyl) groups",PF01255|Putative undecaprenyl diphosphate synthase
C22,58.67,NA,LOC105248578,cyclin-K isoform X1,no,no,no,no,no,no,yes,no,no,0,0,,"PF00134|Cyclin, N-terminal domain"
C22,58.62,NA,LOC105251937,eukaryotic translation initiation factor 3 subunit G isoform X1,no,no,no,no,no,no,no,no,no,0,0,GO:0003676|nucleic acid binding,"PF00076|RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain); PF12353|Eukaryotic translation initiation factor 3 subunit G"
C22,58.62,NA,LOC105254933,tyrosine kinase receptor Cad96Ca,no,no,no,no,no,no,no,no,no,3,1,GO:0004672|protein kinase activity; GO:0006468|protein phosphorylation,PF07714|Protein tyrosine kinase
C22,58.57,NA,LOC105254507,ion transport peptide-like isoform X3,no,no,no,no,no,no,no,no,no,0,1,,PF01147|Crustacean CHH/MIH/GIH neurohormone family
C22,58.49,NA,LOC105254686,activating transcription factor of chaperone isoform X1,no,no,no,no,no,no,no,no,no,0,0,"GO:0003700|DNA-binding transcription factor activity; GO:0006355|regulation of transcription, DNA-templated",PF00170|bZIP transcription factor
C22,58.44,NA,LOC105257907,uncharacterized protein LOC105257907,no,no,no,no,no,no,no,no,no,3,0,,
C22,58.42,NA,LOC105259461,"A-kinase anchor protein 10, mitochondrial",no,no,no,no,no,no,no,no,no,0,0,,PF00615|Regulator of G protein signaling domain; PF00615|Regulator of G protein signaling domain
C22,58.36,NA,LOC105257615,HBS1-like protein,no,no,no,no,no,no,yes,no,no,0,0,GO:0003924|GTPase activity; GO:0005525|GTP binding,PF08938|HBS1 N-terminus; PF03143|Elongation factor Tu C-terminal domain; PF00009|Elongation factor Tu GTP binding domain
C22,58.34,NA,LOC105256238,exonuclease 3\'-5\' domain-containing protein 2,no,no,no,no,no,no,no,no,no,1,0,GO:0003676|nucleic acid binding; GO:0006139|nucleobase-containing compound metabolic process; GO:0008408|3'-5' exonuclease activity,PF01612|3'-5' exonuclease
C22,58.33,NA,LOC105254787,nucleolar protein 10,no,no,no,no,no,no,no,no,yes,0,0,GO:0005634|nucleus,PF08159|NUC153 domain
C22,58.25,NA,LOC105258118,"39S ribosomal protein L50, mitochondrial",no,no,no,no,no,no,no,no,no,0,0,GO:0005739|mitochondrion,PF10501|Ribosomal subunit 39S
C22,58.24,NA,LOC105249015,"alpha-1,3/1,6-mannosyltransferase ALG2",no,no,no,no,no,no,yes,no,no,0,0,"GO:0004378|GDP-Man:Man1GlcNAc2-PP-Dol alpha-1,3-mannosyltransferase activity; GO:0006486|protein glycosylation",PF00534|Glycosyl transferases group 1; PF13439|Glycosyltransferase Family 4
C22,58.24,NA,LOC105250416,uncharacterized protein LOC105250416,no,no,no,no,no,yes,no,no,no,0,1,,
C22,58.23,NA,LOC105249291,apolipophorins,no,no,no,no,no,no,no,no,no,1,0,GO:0005319|lipid transporter activity; GO:0006869|lipid transport,PF06448|Domain of Unknown Function (DUF1081); PF01347|Lipoprotein amino terminal region; PF09172|Domain of unknown function (DUF1943); PF00094|von Willebrand factor type D domain
C22,58.2,NA,LOC105248294,sorbitol dehydrogenase isoform X1,no,no,no,no,no,no,no,no,no,0,0,GO:0055114|oxidation-reduction process,PF00107|Zinc-binding dehydrogenase; PF08240|Alcohol dehydrogenase GroES-like domain
C22,58.2,NA,LOC105259333,ER membrane protein complex subunit 7,no,no,no,no,no,no,no,no,no,1,2,,PF09430|Protein of unknown function (DUF2012)
C22,58.19,NA,LOC105249162,activin receptor type-1,no,no,no,no,no,no,no,no,no,1,1,GO:0004675|transmembrane receptor protein serine/threonine kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation; GO:0007178|transmembrane receptor protein serine/threonine kinase signaling pathway; GO:0016020|membrane,PF08515|Transforming growth factor beta type I GS-motif; PF07714|Protein tyrosine kinase; PF01064|Activin types I and II receptor domain
C22,58.16,NA,LOC105252168,protein decapentaplegic isoform X1,no,no,no,no,no,no,no,no,no,0,0,GO:0008083|growth factor activity,PF00019|Transforming growth factor beta like domain; PF00688|TGF-beta propeptide
C22,58.15,NA,LOC112637038,mitochondrial ribosome-associated GTPase 2 isoform X1,no,no,no,no,no,no,no,no,no,0,0,GO:0005525|GTP binding,PF01926|50S ribosome-binding GTPase; PF01018|GTP1/OBG
C22,58.11,NA,LOC105255571,"39S ribosomal protein L10, mitochondrial isoform X1",no,yes,no,no,no,no,no,no,no,0,0,GO:0042254|ribosome biogenesis,PF00466|Ribosomal protein L10
C22,57.85,NA,LOC105259246,GTPase HRas,no,no,no,no,no,no,no,no,no,0,0,GO:0003924|GTPase activity; GO:0005525|GTP binding; GO:0007165|signal transduction; GO:0016020|membrane,PF00071|Ras family
C22,57.79,NA,LOC105252960,probable tRNA (uracil-O(2)-)-methyltransferase,no,no,no,no,no,no,no,no,no,0,0,GO:0008168|methyltransferase activity,PF07757|Predicted AdoMet-dependent methyltransferase
C22,57.77,NA,LOC105253536,transient receptor potential channel pyrexia-like isoform X1,no,no,no,no,no,no,no,no,no,0,6,GO:0005216|ion channel activity; GO:0005515|protein binding; GO:0006811|ion transport; GO:0016020|membrane; GO:0055085|transmembrane transport,PF12796|Ankyrin repeats (3 copies); PF12796|Ankyrin repeats (3 copies); PF12796|Ankyrin repeats (3 copies); PF00520|Ion transport protein; PF00023|Ankyrin repeat; PF00023|Ankyrin repeat
C22,57.77,NA,LOC105257123,uncharacterized protein LOC105257123 isoform X1,no,no,no,no,no,no,no,no,no,2,0,,PF00059|Lectin C-type domain
C22,57.67,NA,LOC105256101,uncharacterized protein LOC105256101,no,no,no,no,no,no,no,no,no,0,0,GO:0005089|Rho guanyl-nucleotide exchange factor activity; GO:0035023|regulation of Rho protein signal transduction,PF00621|RhoGEF domain; PF14604|Variant SH3 domain
C22,57.62,NA,LOC105253219,Golgi integral membrane protein 4 isoform X1,no,no,no,no,no,no,no,no,no,0,1,,
C22,57.52,NA,LOC105249966,probable multidrug resistance-associated protein lethal(2)03659,no,no,no,no,no,yes,no,no,no,0,11,GO:0005524|ATP binding; GO:0016021|integral component of membrane; GO:0016887|ATPase activity; GO:0042626|ATPase-coupled transmembrane transporter activity; GO:0055085|transmembrane transport,PF00664|ABC transporter transmembrane region; PF00664|ABC transporter transmembrane region; PF00005|ABC transporter; PF00005|ABC transporter
C22,57.49,NA,LOC105253070,protein bicaudal C isoform X1,no,no,no,no,no,no,no,no,no,0,0,GO:0003723|RNA binding; GO:0005515|protein binding,PF00013|KH domain; PF00013|KH domain; PF00536|SAM domain (Sterile alpha motif)
C22,57.45,NA,LOC105254532,U6 snRNA-associated Sm-like protein LSm8,no,no,no,no,no,no,no,no,no,0,0,,PF01423|LSM domain
C22,57.44,NA,LOC105248274,bicaudal D-related protein homolog,no,no,no,no,no,no,no,no,no,0,0,,
C22,57.33,NA,LOC105256806,dehydrogenase/reductase SDR family member 7-like,no,no,no,no,no,no,no,no,no,0,1,,PF00106|short chain dehydrogenase
C22,57.23,NA,LOC105248425,uncharacterized protein LOC105248425,no,no,no,no,no,no,no,no,no,0,0,GO:0005515|protein binding,PF00595|PDZ domain; PF00595|PDZ domain
C22,57.23,NA,LOC105257792,,no,no,no,no,no,no,no,no,no,,,,
C22,57.23,NA,LOC105258610,xanthine dehydrogenase,no,no,no,no,no,no,no,no,no,0,0,GO:0009055|electron transfer activity; GO:0046872|metal ion binding; GO:0051536|iron-sulfur cluster binding; GO:0055114|oxidation-reduction process,"PF01315|Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain; PF01799|[2Fe-2S] binding domain; PF02738|Molybdopterin-binding domain of aldehyde dehydrogenase; PF00941|FAD binding domain in molybdopterin dehydrogenase; PF03450|CO dehydrogenase flavoprotein C-terminal domain; PF00111|2Fe-2S iron-sulfur cluster binding domain"
C22,57.22,NA,LOC105251893,nuclear fragile X mental retardation-interacting protein 1 isoform X2,no,no,no,no,no,no,no,no,no,0,0,,PF10453|Nuclear fragile X mental retardation-interacting protein 1 (NUFIP1)
C22,57.22,NA,LOC105253053,sorting nexin-17,no,no,no,no,no,no,no,no,no,0,0,GO:0006886|intracellular protein transport; GO:0035091|phosphatidylinositol binding,PF00787|PX domain; PF18116|Sorting Nexin 17 FERM C-terminal domain
C22,57.22,NA,LOC105258550,protein YIPF1 isoform X2,no,no,no,no,no,no,no,no,no,0,5,GO:0005794|Golgi apparatus; GO:0016020|membrane; GO:0016192|vesicle-mediated transport,PF04893|Yip1 domain
C22,57.16,NA,LOC105253659,sex-lethal homolog isoform X1,no,yes,no,no,no,no,no,no,no,0,0,GO:0003676|nucleic acid binding,"PF00076|RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain); PF00076|RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
C22,57.16,NA,LOC105254901,ethanolamine-phosphate cytidylyltransferase isoform X1,no,no,no,no,no,no,no,no,no,0,0,GO:0003824|catalytic activity; GO:0009058|biosynthetic process,PF01467|Cytidylyltransferase-like; PF01467|Cytidylyltransferase-like
C22,57.13,NA,LOC105248518,sterile alpha and TIR motif-containing protein 1 isoform X4,no,no,no,no,no,no,no,no,no,0,0,GO:0034128|negative regulation of MyD88-independent toll-like receptor signaling pathway; GO:0035591|signaling adaptor activity; GO:0048678|response to axon injury,PF13676|TIR domain; PF07647|SAM domain (Sterile alpha motif); PF07647|SAM domain (Sterile alpha motif)
C22,56.97,NA,LOC105255643,peptidoglycan-recognition protein LC isoform X1,no,no,no,no,no,no,no,no,no,0,1,GO:0008745|N-acetylmuramoyl-L-alanine amidase activity; GO:0009253|peptidoglycan catabolic process,PF01510|N-acetylmuramoyl-L-alanine amidase
C22,56.85,NA,LOC105257523,muscle-specific protein 20-like,no,no,no,no,no,no,no,no,no,0,0,GO:0005515|protein binding,PF00402|Calponin family repeat; PF00307|Calponin homology (CH) domain
C22,56.82,NA,LOC105251888,"DNA-directed RNA polymerases I, II, and III subunit RPABC1",no,no,no,no,no,no,yes,no,no,0,0,"GO:0003677|DNA binding; GO:0003899|DNA-directed 5'-3' RNA polymerase activity; GO:0005634|nucleus; GO:0006351|transcription, DNA-templated","PF03871|RNA polymerase Rpb5, N-terminal domain; PF01191|RNA polymerase Rpb5, C-terminal domain"
C22,56.82,NA,LOC105252173,tubulin alpha-1 chain,no,no,no,no,no,no,no,no,no,0,0,GO:0003924|GTPase activity; GO:0005874|microtubule; GO:0007017|microtubule-based process,"PF00091|Tubulin/FtsZ family, GTPase domain; PF03953|Tubulin C-terminal domain"
C22,56.72,NA,LOC105257764,"alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B",no,no,no,no,no,no,no,no,no,0,1,,PF04666|N-Acetylglucosaminyltransferase-IV (GnT-IV) conserved region
C22,56.59,NA,LOC105257204,nudix hydrolase 7,no,no,no,no,no,no,no,no,no,0,0,GO:0016787|hydrolase activity,PF18290|Nudix hydrolase domain; PF00293|NUDIX domain
C22,56.55,NA,LOC105255348,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,no,no,no,no,no,no,no,no,no,0,0,GO:0005515|protein binding,PF00595|PDZ domain
C22,56.51,NA,LOC105256741,probable rRNA-processing protein EBP2 homolog,no,no,no,no,no,no,no,no,no,0,0,,PF05890|Eukaryotic rRNA processing protein EBP2
C22,56.5,NA,LOC105254256,transmembrane protein adipocyte-associated 1 homolog isoform X2,no,no,no,no,no,no,no,no,no,0,7,,PF10160|Predicted membrane protein
C22,56.49,NA,LOC105255136,ras-related protein Rab6 isoform X1,no,no,no,no,no,no,no,no,no,0,0,GO:0003924|GTPase activity; GO:0005525|GTP binding,PF00071|Ras family
C22,56.47,NA,LOC105258890,uncharacterized protein LOC105258890,no,no,no,no,no,no,no,no,no,0,1,,
C22,56.45,NA,LOC105249450,succinate--CoA ligase,no,no,no,no,no,no,no,no,yes,0,0,GO:0003824|catalytic activity; GO:0006099|tricarboxylic acid cycle,PF00549|CoA-ligase; PF08442|ATP-grasp domain
C22,56.45,NA,LOC105253534,,no,no,no,no,no,no,no,no,no,,,,
C22,56.45,NA,LOC112639134,von Willebrand factor D and EGF domain-containing protein-like,no,no,no,no,no,no,no,no,yes,3,0,,
C22,56.32,NA,LOC105255255,uncharacterized protein LOC105255255,no,no,no,no,no,no,no,no,no,1,0,,
C22,56.26,NA,LOC105247794,E3 ubiquitin-protein ligase ZNF598,no,no,no,no,no,no,no,no,no,0,0,,"PF13920|Zinc finger, C3HC4 type (RING finger)"
C22,56.15,NA,LOC105252499,caveolin-3 isoform X1,no,no,no,no,no,no,no,no,no,0,1,GO:0070836|caveola assembly,PF01146|Caveolin
C22,56.15,NA,LOC105254354,inorganic pyrophosphatase isoform X2,no,no,no,no,no,no,no,no,no,0,0,GO:0000287|magnesium ion binding; GO:0004427|inorganic diphosphatase activity; GO:0005737|cytoplasm; GO:0006796|phosphate-containing compound metabolic process,PF00719|Inorganic pyrophosphatase
C22,56.06,NA,LOC105249309,H(+)/Cl(-) exchange transporter 5 isoform X1,no,no,no,no,no,no,no,no,no,1,11,GO:0005247|voltage-gated chloride channel activity; GO:0006821|chloride transport; GO:0016020|membrane; GO:0055085|transmembrane transport,PF00571|CBS domain; PF00571|CBS domain; PF00654|Voltage gated chloride channel
C22,56.06,NA,LOC105254742,uncharacterized protein LOC105254742,no,no,no,no,no,no,no,no,no,3,0,,
C22,55.92,NA,LOC105249803,zinc finger protein 2 homolog,no,no,no,no,no,no,no,no,no,0,0,GO:0003676|nucleic acid binding,"PF00096|Zinc finger, C2H2 type; PF00096|Zinc finger, C2H2 type; PF00096|Zinc finger, C2H2 type; PF00096|Zinc finger, C2H2 type; PF00096|Zinc finger, C2H2 type"
C22,55.92,NA,LOC105256298,annexin B9-like isoform X3,no,no,no,no,no,yes,no,no,no,0,0,GO:0005509|calcium ion binding; GO:0005544|calcium-dependent phospholipid binding,PF00191|Annexin; PF00191|Annexin; PF00191|Annexin; PF00191|Annexin
C22,55.88,NA,LOC105252304,semaphorin-1A isoform X3,no,no,no,no,no,no,no,no,no,1,1,GO:0030215|semaphorin receptor binding,PF01403|Sema domain
C22,55.87,NA,LOC105252635,ARF GTPase-activating protein GIT1,no,no,no,no,no,no,no,no,no,0,0,GO:0005096|GTPase activator activity,PF01412|Putative GTPase activating protein for Arf; PF13637|Ankyrin repeats (many copies); PF12205|G protein-coupled receptor kinase-interacting protein 1 C term; PF08518|Spa2 homology domain (SHD) of GIT; PF08518|Spa2 homology domain (SHD) of GIT
C22,55.85,NA,LOC105249581,ras suppressor protein 1,no,no,no,no,no,no,no,no,no,0,0,GO:0005515|protein binding,PF13855|Leucine rich repeat; PF13855|Leucine rich repeat
C22,55.76,NA,LOC105259011,uncharacterized protein LOC105259011 isoform X3,no,no,no,no,no,no,no,no,no,0,0,"GO:0004114|3',5'-cyclic-nucleotide phosphodiesterase activity; GO:0007165|signal transduction",PF00233|3'5'-cyclic nucleotide phosphodiesterase
C22,55.75,NA,LOC105256858,sodium-dependent nutrient amino acid transporter 1,no,no,no,no,no,no,no,no,no,0,12,GO:0016021|integral component of membrane,PF00209|Sodium:neurotransmitter symporter family
C22,55.68,NA,LOC105256891,ubiquitin carboxyl-terminal hydrolase 36,no,no,no,no,no,no,no,no,no,0,0,GO:0016579|protein deubiquitination; GO:0036459|thiol-dependent ubiquitinyl hydrolase activity,PF00443|Ubiquitin carboxyl-terminal hydrolase
C22,55.59,NA,LOC105249332,mucin-5AC,no,no,no,no,no,no,no,no,no,0,1,,
C22,55.53,NA,LOC105257863,mitochondrial import receptor subunit TOM70 isoform X1,no,no,no,no,no,no,no,no,yes,0,0,GO:0005515|protein binding,PF13424|Tetratricopeptide repeat; PF13424|Tetratricopeptide repeat; PF13174|Tetratricopeptide repeat; PF13181|Tetratricopeptide repeat; PF13181|Tetratricopeptide repeat
C22,55.41,NA,LOC105254207,clavesin-2,no,no,no,no,no,no,no,no,no,0,0,"GO:0005768|endosome; GO:0005802|trans-Golgi network; GO:0007040|lysosome organization; GO:0030136|clathrin-coated vesicle; GO:0080025|phosphatidylinositol-3,5-bisphosphate binding",PF00650|CRAL/TRIO domain
C22,55.4,NA,LOC105248005,staphylococcal nuclease domain-containing protein 1,no,no,no,no,no,no,no,no,no,0,0,,PF00567|Tudor domain; PF00565|Staphylococcal nuclease homologue; PF00565|Staphylococcal nuclease homologue; PF00565|Staphylococcal nuclease homologue; PF00565|Staphylococcal nuclease homologue
C22,55.27,NA,LOC105258990,"neuroligin-4, X-linked isoform X1",no,no,no,no,no,no,no,no,no,0,2,,PF00135|Carboxylesterase family
C22,55.2,NA,LOC105253788,N-terminal kinase-like protein,no,no,no,no,no,no,no,no,no,0,0,GO:0004672|protein kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation,PF00069|Protein kinase domain
C22,55.14,NA,LOC105254189,uncharacterized protein LOC105254189 isoform X2,no,no,no,no,no,no,no,no,no,0,2,,PF13639|Ring finger domain
C22,55.07,NA,LOC105253181,Fanconi anemia group J protein isoform X1,no,no,no,no,no,no,no,no,no,0,1,GO:0003677|DNA binding; GO:0003678|DNA helicase activity; GO:0005524|ATP binding; GO:0006139|nucleobase-containing compound metabolic process,PF13307|Helicase C-terminal domain; PF06733|DEAD_2
C22,55.05,NA,LOC105250917,neuroglian isoform X1,no,no,no,no,no,no,no,no,no,3,1,GO:0005515|protein binding,PF13927|Immunoglobulin domain; PF13882|Bravo-like intracellular region; PF07679|Immunoglobulin I-set domain; PF07679|Immunoglobulin I-set domain; PF07679|Immunoglobulin I-set domain; PF07679|Immunoglobulin I-set domain; PF00041|Fibronectin type III domain; PF00041|Fibronectin type III domain
C22,55.04,NA,LOC105251037,fringe glycosyltransferase,no,no,no,no,no,no,no,no,no,0,1,"GO:0016020|membrane; GO:0016757|transferase activity, transferring glycosyl groups",PF02434|Fringe-like
C22,54.99,NA,LOC105253100,nicastrin,no,no,no,no,no,no,no,no,no,1,1,GO:0016021|integral component of membrane; GO:0016485|protein processing,PF05450|Nicastrin; PF18266|Nicastrin small lobe
C22,54.84,NA,LOC105256576,glycine N-methyltransferase,no,no,no,no,no,no,no,no,no,0,0,GO:0017174|glycine N-methyltransferase activity,PF13847|Methyltransferase domain
C22,54.75,NA,LOC105254004,inhibitor of growth protein 3 isoform X1,no,no,no,no,no,no,no,no,no,0,0,,PF00628|PHD-finger; PF12998|Inhibitor of growth proteins N-terminal histone-binding
C22,54.73,NA,LOC105255399,nucleolar protein 56,no,no,no,no,no,no,no,no,no,0,0,,"PF08156|NOP5NT (NUC127) domain; PF01798|snoRNA binding domain, fibrillarin"
C22,54.69,NA,LOC105255485,folliculin-interacting protein 1,no,no,no,no,no,no,no,no,no,0,0,,PF14636|Folliculin-interacting protein N-terminus; PF14637|Folliculin-interacting protein middle domain; PF14638|Folliculin-interacting protein C-terminus
C22,54.66,NA,LOC105257089,"39S ribosomal protein L13, mitochondrial",no,no,no,no,no,no,no,no,no,0,0,GO:0003735|structural constituent of ribosome; GO:0005840|ribosome; GO:0006412|translation,PF00572|Ribosomal protein L13
C22,54.64,NA,LOC105257566,platelet glycoprotein V,no,yes,no,no,no,no,no,no,no,1,1,GO:0005515|protein binding,PF13855|Leucine rich repeat; PF13855|Leucine rich repeat; PF13855|Leucine rich repeat
C22,54.49,NA,LOC105252145,zinc finger HIT domain-containing protein 3,no,no,no,no,no,no,no,no,no,0,0,,PF04438|HIT zinc finger
C22,54.46,NA,LOC105258822,uncharacterized protein LOC105258822,no,no,no,no,no,no,no,no,no,1,0,"GO:0030431|sleep; GO:0032222|regulation of synaptic transmission, cholinergic; GO:1903818|positive regulation of voltage-gated potassium channel activity",PF17064|Sleepless protein
C22,54.45,NA,LOC105253350,AN1-type zinc finger protein 2A,no,no,yes,no,no,no,no,no,no,0,0,GO:0008270|zinc ion binding,PF01428|AN1-like Zinc finger; PF01428|AN1-like Zinc finger
C22,54.44,NA,LOC105253358,probable G-protein coupled receptor Mth-like 5,no,no,no,no,no,no,no,no,no,3,7,,
C22,54.41,NA,LOC105254307,ER degradation-enhancing alpha-mannosidase-like protein 2,no,no,no,no,no,no,no,no,no,1,0,"GO:0004571|mannosyl-oligosaccharide 1,2-alpha-mannosidase activity; GO:0005509|calcium ion binding; GO:0016020|membrane",PF01532|Glycosyl hydrolase family 47
C22,54.41,NA,LOC105255067,telomerase Cajal body protein 1,no,no,no,no,no,no,no,no,no,0,0,,
C22,54.24,NA,LOC105254731,chaoptin,no,no,no,no,no,no,no,no,no,1,1,GO:0005515|protein binding,PF13855|Leucine rich repeat; PF13855|Leucine rich repeat; PF13855|Leucine rich repeat; PF13855|Leucine rich repeat; PF13855|Leucine rich repeat; PF13855|Leucine rich repeat; PF13855|Leucine rich repeat; PF13855|Leucine rich repeat; PF13855|Leucine rich repeat
C22,54.07,NA,LOC105257551,uncharacterized protein LOC105257551,no,no,no,no,no,no,no,no,no,0,0,,
C22,54.01,NA,LOC105254089,lysosomal Pro-X carboxypeptidase,no,no,no,no,no,no,no,no,no,2,0,GO:0006508|proteolysis; GO:0008236|serine-type peptidase activity,PF05577|Serine carboxypeptidase S28
C22,54.01,NA,LOC109610497,,no,no,no,no,no,no,no,no,no,,,,
C22,53.92,NA,LOC105248493,zinc finger protein 497,no,no,no,no,no,no,no,no,no,0,0,GO:0003676|nucleic acid binding; GO:0005634|nucleus; GO:0008270|zinc ion binding,"PF07776|Zinc-finger associated domain (zf-AD); PF00096|Zinc finger, C2H2 type; PF00096|Zinc finger, C2H2 type"
C22,53.92,NA,LOC105251124,SH3 domain-containing kinase-binding protein 1,no,no,no,no,no,no,no,no,no,0,0,GO:0005515|protein binding; GO:0007015|actin filament organization,PF14604|Variant SH3 domain; PF14604|Variant SH3 domain; PF14604|Variant SH3 domain
C22,53.88,NA,LOC105254447,septin-2,no,no,no,no,no,no,yes,no,no,0,0,GO:0005525|GTP binding,PF00735|Septin
C22,53.84,NA,LOC105247831,carboxypeptidase D isoform X2,no,no,no,no,no,no,no,no,no,1,0,GO:0004181|metallocarboxypeptidase activity; GO:0004185|serine-type carboxypeptidase activity; GO:0006508|proteolysis; GO:0008270|zinc ion binding,PF00246|Zinc carboxypeptidase; PF13620|Carboxypeptidase regulatory-like domain
C22,53.84,NA,LOC105250790,BRISC and BRCA1-A complex member 1,no,no,no,no,no,no,no,no,no,0,0,GO:0045739|positive regulation of DNA repair; GO:0070531|BRCA1-A complex; GO:0070552|BRISC complex,
C22,53.76,NA,LOC105248432,glutathione hydrolase 1 proenzyme isoform X2,no,no,no,no,no,no,no,no,no,1,3,GO:0006751|glutathione catabolic process; GO:0036374|glutathione hydrolase activity,PF01019|Gamma-glutamyltranspeptidase
C22,53.76,NA,LOC105257417,ubiquitin carboxyl-terminal hydrolase ZUFSP,no,no,no,no,no,no,no,no,no,0,0,GO:0003676|nucleic acid binding,"PF07910|Peptidase family C78; PF00096|Zinc finger, C2H2 type"
C22,53.75,NA,LOC105250032,rhotekin-2 isoform X2,no,no,no,no,no,no,no,no,no,0,0,GO:0007266|Rho protein signal transduction; GO:0017049|GTP-Rho binding; GO:0032185|septin cytoskeleton organization,PF08174|Cell division protein anillin
C22,53.75,NA,LOC105258991,protein BUD31 homolog,no,no,no,no,no,no,yes,no,yes,0,0,GO:0005634|nucleus,PF01125|G10 protein
C22,53.74,NA,LOC105249462,tafazzin homolog isoform X1,no,no,no,no,no,no,no,no,no,0,0,"GO:0006644|phospholipid metabolic process; GO:0016746|transferase activity, transferring acyl groups",PF01553|Acyltransferase
C22,53.73,NA,LOC105257090,uncharacterized protein LOC105257090,no,no,no,no,no,no,no,no,no,0,0,,PF12660|Putative zinc-finger of transcription factor IIIC complex; PF12657|Transcription factor IIIC subunit delta N-term
C22,53.72,NA,LOC105256462,60S ribosomal protein L27a,no,no,no,no,no,no,no,no,no,0,0,,"PF00828|Ribosomal proteins 50S-L15, 50S-L18e, 60S-L27A"
C22,53.68,NA,LOC105251961,ankyrin repeat domain-containing protein 50 isoform X2,no,no,no,no,no,no,no,no,no,0,0,GO:0005515|protein binding,PF12796|Ankyrin repeats (3 copies); PF12796|Ankyrin repeats (3 copies); PF12796|Ankyrin repeats (3 copies); PF12796|Ankyrin repeats (3 copies); PF12796|Ankyrin repeats (3 copies); PF00023|Ankyrin repeat; PF00023|Ankyrin repeat; PF00023|Ankyrin repeat; PF13637|Ankyrin repeats (many copies)
C22,53.58,NA,LOC105252699,dynein regulatory complex protein 10-like,no,no,no,no,no,no,no,no,no,0,0,,
C22,53.58,NA,LOC105254293,N-acetylglucosamine-6-sulfatase,no,no,no,no,no,no,no,no,no,0,1,GO:0008484|sulfuric ester hydrolase activity,PF00884|Sulfatase
C22,53.58,NA,LOC105259084,E3 ubiquitin-protein ligase MIB1,no,no,no,no,no,no,no,no,no,0,0,GO:0004842|ubiquitin-protein transferase activity; GO:0005515|protein binding; GO:0008270|zinc ion binding; GO:0016567|protein ubiquitination,"PF13923|Zinc finger, C3HC4 type (RING finger); PF13920|Zinc finger, C3HC4 type (RING finger); PF13920|Zinc finger, C3HC4 type (RING finger); PF18346|Mind bomb SH3 repeat domain; PF18346|Mind bomb SH3 repeat domain; PF12796|Ankyrin repeats (3 copies); PF12796|Ankyrin repeats (3 copies); PF00023|Ankyrin repeat; PF06701|Mib_herc2; PF06701|Mib_herc2; PF00569|Zinc finger, ZZ type; PF13637|Ankyrin repeats (many copies)"
C22,53.43,NA,LOC105250081,inositol-tetrakisphosphate 1-kinase isoform X1,no,no,no,no,no,no,no,no,no,0,0,"GO:0000287|magnesium ion binding; GO:0005524|ATP binding; GO:0032957|inositol trisphosphate metabolic process; GO:0047325|inositol tetrakisphosphate 1-kinase activity; GO:0052725|inositol-1,3,4-trisphosphate 6-kinase activity; GO:0052726|inositol-1,3,4-trisphosphate 5-kinase activity","PF17927|Inositol 1,3,4-trisphosphate 5/6-kinase pre-ATP-grasp domain; PF05770|Inositol 1,3,4-trisphosphate 5/6-kinase ATP-grasp domain"
C22,53.4,NA,LOC105256516,uncharacterized protein LOC105256516 isoform X1,no,no,no,no,no,no,no,no,no,0,0,GO:0003676|nucleic acid binding,PF05485|THAP domain
