"gene_name","GOs","pfams","signalP","TMHMM","sc16a_ccl_up_down","sc16a_ccd_up_down","ccl_ccd_up_down"
"Ophio5|3241","","","",NA,"Down","Down","Down"
"Ophio5|3242","","","",NA,"Up","Down","Down"
"Ophio5|3243","GO:0006352|DNA-templated transcription, initiation;GO:0005669|transcription factor TFIID complex","PF03847.8|TFIID_20kDa","",NA,"Up","Up","Down"
"Ophio5|3244","GO:0030234|enzyme regulator activity;GO:0000502|proteasome complex;GO:0005515|protein binding;GO:0042176|regulation of protein catabolic process","PF08375.6|Rpn3_C;PF01399.22|PCI","",NA,"Down","Down","Down"
"Ophio5|3245","GO:0006355|regulation of transcription, DNA-templated;GO:0016747|transferase activity, transferring acyl groups other than amino-acyl groups;GO:0005634|nucleus","PF01853.13|MOZ_SAS","",NA,"Up","Up","Up"
"Ophio5|3246","GO:0004601|peroxidase activity","PF01328.12|Peroxidase_2","SignalP: has predicted secretion signal; SSP: small secreted protein",1,"Down","Down","Up"
"Ophio5|3247","","","",NA,"Down","Down","Up"
"Ophio5|3248","GO:0005515|protein binding;GO:0016853|isomerase activity","PF00639.16|Rotamase;PF13616.1|Rotamase_3;PF00397.21|WW","",NA,"Down","Down","Down"
"Ophio5|3249","GO:0003899|DNA-directed RNA polymerase activity;GO:0003677|DNA binding;GO:0006351|transcription, DNA-templated","PF02150.11|RNA_POL_M_15KD","",NA,"Up","Down","Down"
"Ophio5|325","GO:0006298|mismatch repair;GO:0005524|ATP binding;GO:0030983|mismatched DNA binding","PF08676.6|MutL_C;PF01119.14|DNA_mis_repair;PF02518.21|HATPase_c;PF13589.1|HATPase_c_3","",NA,"Down","Down","Down"
"Ophio5|3250","GO:0006412|translation;GO:0005840|ribosome;GO:0003735|structural constituent of ribosome","PF00238.14|Ribosomal_L14","",NA,"Up","Up","Up"
"Ophio5|3251","GO:0005515|protein binding","PF00856.23|SET","",NA,"Up","Up","Down"
"Ophio5|3252","","","SignalP: has predicted secretion signal",NA,"Up","Up","Down"
"Ophio5|3253","","","",4,"Down","Down","Up"
"Ophio5|3254","","PF06011.7|TRP;PF14558.1|TRP_N","SignalP: has predicted secretion signal",10,"Up","Up","Down"
"Ophio5|3255","GO:0016020|membrane","PF01169.14|UPF0016;PF01169.14|UPF0016","SignalP: has predicted secretion signal",5,"Up","Up","Down"
"Ophio5|3256","","PF05730.6|CFEM","SignalP: has predicted secretion signal; SSP: small secreted protein",NA,"Down","Down","Down"
"Ophio5|3257","","","",NA,"Down","Down","Up"
"Ophio5|3258","","","",NA,"Down","Down","Up"
"Ophio5|3259","","","",NA,"Down","Down","Up"
"Ophio5|326","GO:0070403|NAD+ binding","PF02146.12|SIR2","",NA,"Up","Up","Down"
"Ophio5|3260","GO:0005515|protein binding","PF00400.27|WD40;PF00400.27|WD40;PF00400.27|WD40","",NA,"Down","Down","Down"
"Ophio5|3261","","","",NA,"Down","Down","Down"
"Ophio5|3262","GO:0005515|protein binding","PF00856.23|SET","",NA,"Down","Down","Up"
"Ophio5|3263","GO:0006744|ubiquinone biosynthetic process","PF05019.8|Coq4","",NA,"Down","Down","Up"
"Ophio5|3264","GO:0003677|DNA binding","PF01984.15|dsDNA_bind","",NA,"Down","Down","Up"
"Ophio5|3265","GO:0055114|oxidation-reduction process;GO:0008677|2-dehydropantoate 2-reductase activity","PF02558.11|ApbA","",NA,"Down","Down","Up"
"Ophio5|3266","","PF01494.14|FAD_binding_3","",NA,"Down","Down","Down"
"Ophio5|3267","","PF11951.3|Fungal_trans_2","",NA,"Up","Down","Down"
"Ophio5|3268","","PF04000.10|Sas10_Utp3","",NA,"Up","Up","Down"
"Ophio5|3269","","","",NA,"Up","Up","Down"
"Ophio5|327","","","",4,"Up","Up","Down"
"Ophio5|3270","GO:0005515|protein binding","PF00789.15|UBX","",NA,"Up","Up","Up"
"Ophio5|3271","GO:0016020|membrane","PF02104.10|SURF1","",2,"Up","Up","Up"
"Ophio5|3272","GO:0003677|DNA binding","PF15511.1|CENP-T;PF15630.1|CENP-S;PF00125.19|Histone","",NA,"Up","Up","Up"
"Ophio5|3273","","","",NA,"Down","Down","Up"
"Ophio5|3274","GO:0051090|regulation of sequence-specific DNA binding transcription factor activity;GO:0006352|DNA-templated transcription, initiation;GO:0005634|nucleus","PF07571.8|DUF1546;PF02969.12|TAF","",NA,"Down","Down","Down"
"Ophio5|3275","","PF01965.19|DJ-1_PfpI;PF13587.1|DJ-1_PfpI_N","",NA,"Down","Down","Up"
"Ophio5|3276","GO:0016491|oxidoreductase activity;GO:0008270|zinc ion binding;GO:0055114|oxidation-reduction process","PF08240.7|ADH_N;PF00107.21|ADH_zinc_N","",NA,"Down","Down","Up"
"Ophio5|3277","","PF00135.23|COesterase","SignalP: has predicted secretion signal",NA,"Down","Up","Up"
"Ophio5|3278","GO:0016787|hydrolase activity","PF12697.2|Abhydrolase_6;PF12695.2|Abhydrolase_5;PF06500.6|DUF1100;PF02230.11|Abhydrolase_2","",NA,"Up","Up","Up"
"Ophio5|3279","","","",NA,"Up","Up","Down"
"Ophio5|328","","","",NA,"Down","Down","Up"
"Ophio5|3280","","PF08618.5|Opi1;PF08618.5|Opi1;PF08618.5|Opi1","",NA,"Up","Up","Down"
"Ophio5|3281","GO:0030131|clathrin adaptor complex;GO:0005515|protein binding;GO:0006886|intracellular protein transport;GO:0016192|vesicle-mediated transport","PF00928.16|Adap_comp_sub;PF01217.15|Clat_adaptor_s","",NA,"Up","Up","Up"
"Ophio5|3282","","","",NA,"Down","Up","Up"
"Ophio5|3283","GO:0005515|protein binding","PF00856.23|SET;PF09273.6|Rubis-subs-bind","",NA,"Down","Up","Up"
"Ophio5|3284","","","SignalP: has predicted secretion signal",NA,"Down","Down","Down"
"Ophio5|3285","GO:0009411|response to UV;GO:0006289|nucleotide-excision repair;GO:0004519|endonuclease activity","PF03851.9|UvdE","",NA,"Down","Down","Down"
"Ophio5|3286","","","",NA,"Down","Down","Down"
"Ophio5|3287","","PF05572.8|Peptidase_M43","SignalP: has predicted secretion signal",NA,"Down","Down","Up"
"Ophio5|3288","","","",NA,"Up","=","Down"
"Ophio5|3289","","","",NA,"Up","=","Down"
"Ophio5|329","","","",NA,"Up","Down","Down"
"Ophio5|3290","GO:0046872|metal ion binding;GO:0000166|nucleotide binding","PF00122.15|E1-E2_ATPase;PF00689.16|Cation_ATPase_C;PF00702.21|Hydrolase;PF13246.1|Hydrolase_like2;PF00690.21|Cation_ATPase_N;PF12710.2|HAD","",10,"Down","Down","Down"
"Ophio5|3291","GO:0016491|oxidoreductase activity;GO:0055114|oxidation-reduction process;GO:0005506|iron ion binding;GO:0006633|fatty acid biosynthetic process","PF04116.8|FA_hydroxylase","",1,"Up","Up","Down"
"Ophio5|3292","","","",NA,"Up","Down","Down"
"Ophio5|3293","","","SignalP: has predicted secretion signal",NA,"Down","Down","Down"
"Ophio5|3294","GO:0005515|protein binding","PF12799.2|LRR_4;PF13855.1|LRR_8;PF13516.1|LRR_6","",NA,"Down","Down","Up"
"Ophio5|3295","","","",NA,"Up","Up","Down"
"Ophio5|3296","","","SignalP: has predicted secretion signal; SSP: small secreted protein",NA,"Up","Up","Down"
"Ophio5|3297","GO:0016887|ATPase activity;GO:0016021|integral component of membrane;GO:0016020|membrane;GO:0005524|ATP binding;GO:0042626|ATPase activity, coupled to transmembrane movement of substances;GO:0006810|transport","PF01061.19|ABC2_membrane;PF01061.19|ABC2_membrane;PF00005.22|ABC_tran;PF00005.22|ABC_tran;PF06422.7|PDR_CDR","",13,"Down","Down","Down"
"Ophio5|3298","","PF10294.4|Methyltransf_16","",NA,"Down","Down","Up"
"Ophio5|3299","","","",NA,"Down","Down","Down"
"Ophio5|33","","PF13460.1|NAD_binding_10;PF05368.8|NmrA","",NA,"Down","Down","Down"
"Ophio5|330","","PF08733.5|PalH","",4,"Up","Down","Down"
"Ophio5|3300","","PF09011.5|HMG_box_2;PF00505.14|HMG_box","",NA,"Down","Up","Up"
"Ophio5|3301","GO:0051603|proteolysis involved in cellular protein catabolic process;GO:0005839|proteasome core complex;GO:0004298|threonine-type endopeptidase activity","PF00227.21|Proteasome","",NA,"Up","Up","Up"
"Ophio5|3302","GO:0030246|carbohydrate binding;GO:0005975|carbohydrate metabolic process;GO:0008152|metabolic process","PF01380.17|SIS;PF01380.17|SIS;PF00310.16|GATase_2;PF00310.16|GATase_2;PF13522.1|GATase_6;PF13537.1|GATase_7;PF13230.1|GATase_4","",NA,"Down","Down","Up"
"Ophio5|3303","GO:0006281|DNA repair;GO:0016887|ATPase activity;GO:0005524|ATP binding;GO:0009378|four-way junction helicase activity;GO:0006310|DNA recombination","PF00004.24|AAA;PF07728.9|AAA_5;PF07724.9|AAA_2;PF05496.7|RuvB_N","",NA,"Up","Up","Down"
"Ophio5|3304","GO:0005515|protein binding","PF09282.5|Mago-bind","",NA,"Up","Up","Up"
"Ophio5|3305","GO:0005750|mitochondrial respiratory chain complex III;GO:0005740|mitochondrial envelope;GO:0006122|mitochondrial electron transport, ubiquinol to cytochrome c","PF05365.7|UCR_UQCRX_QCR9","",1,"Down","Up","Up"
"Ophio5|3306","GO:0030163|protein catabolic process;GO:0004842|ubiquitin-protein ligase activity;GO:0008270|zinc ion binding","PF02207.15|zf-UBR;PF02617.12|ClpS","",NA,"Down","Up","Up"
"Ophio5|3307","","PF08624.5|CRC_subunit","",NA,"Up","Up","Down"
"Ophio5|3308","GO:0016020|membrane;GO:0006886|intracellular protein transport;GO:0006605|protein targeting","PF00584.15|SecE","",1,"Down","Down","Up"
"Ophio5|3309","","","",NA,"Up","Up","Down"
"Ophio5|331","","","",NA,"Down","Down","Up"
"Ophio5|3310","","","",NA,"Up","Up","Down"
"Ophio5|3311","","","",NA,"Down","Up","Up"
"Ophio5|3312","","","",NA,"=","=","="
"Ophio5|3313","GO:0006289|nucleotide-excision repair;GO:0006355|regulation of transcription, DNA-templated;GO:0000439|core TFIIH complex","PF06331.7|Tbf5","",NA,"Down","Down","Up"
"Ophio5|3314","GO:0003824|catalytic activity;GO:0008152|metabolic process","PF00378.15|ECH","",NA,"Up","Up","Down"
"Ophio5|3315","","PF03198.9|Glyco_hydro_72","SignalP: has predicted secretion signal",NA,"Up","Up","Down"
"Ophio5|3316","","PF01237.13|Oxysterol_BP;PF15409.1|PH_8","",NA,"Down","Down","Up"
"Ophio5|3317","GO:0008270|zinc ion binding;GO:0008060|ARF GTPase activator activity;GO:0032312|regulation of ARF GTPase activity","PF01412.13|ArfGap","",NA,"Down","Down","Down"
"Ophio5|3318","GO:0008073|ornithine decarboxylase inhibitor activity;GO:0004857|enzyme inhibitor activity","PF02100.12|ODC_AZ","",NA,"Down","Down","Down"
"Ophio5|3319","GO:0009236|cobalamin biosynthetic process;GO:0003824|catalytic activity;GO:0000105|histidine biosynthetic process","PF00977.16|His_biosynth;PF00117.23|GATase;PF07685.9|GATase_3","",NA,"Up","Up","Down"
"Ophio5|332","","PF07942.7|N2227","",NA,"Up","Up","Down"
"Ophio5|3320","","PF10419.4|TFIIIC_sub6","",NA,"Up","Down","Down"
"Ophio5|3321","","PF06101.6|DUF946","",2,"Down","Down","Up"
"Ophio5|3322","","PF11702.3|DUF3295;PF11702.3|DUF3295;PF08550.5|DUF1752","",NA,"Up","Up","Down"
"Ophio5|3323","","","",NA,"Down","Down","Down"
"Ophio5|3324","GO:0005525|GTP binding","PF10396.4|TrmE_N;PF12631.2|GTPase_Cys_C;PF01926.18|MMR_HSR1","",NA,"Up","Up","Down"
"Ophio5|3325","GO:0008152|metabolic process","PF00266.14|Aminotran_5;PF00266.14|Aminotran_5","",NA,"Up","Up","Up"
"Ophio5|3326","GO:0019773|proteasome core complex, alpha-subunit complex;GO:0051603|proteolysis involved in cellular protein catabolic process;GO:0006511|ubiquitin-dependent protein catabolic process;GO:0005839|proteasome core complex;GO:0004175|endopeptidase activity;GO:0004298|threonine-type endopeptidase activity","PF00227.21|Proteasome;PF10584.4|Proteasome_A_N","",NA,"Down","Down","Up"
"Ophio5|3327","","PF03641.9|Lysine_decarbox","",NA,"Up","Up","Up"
"Ophio5|3328","","","SignalP: has predicted secretion signal; SSP: small secreted protein",NA,"Down","Down","Up"
"Ophio5|3329","","PF05602.7|CLPTM1","",4,"Up","Down","Down"
"Ophio5|333","GO:0016491|oxidoreductase activity;GO:0008152|metabolic process","PF13561.1|adh_short_C2;PF00106.20|adh_short;PF08659.5|KR","",NA,"Up","Up","Down"
"Ophio5|3330","","","",NA,"Up","Up","Down"
"Ophio5|3331","","","SignalP: has predicted secretion signal; SSP: small secreted protein",NA,"Up","Up","Down"
"Ophio5|3332","","","SignalP: has predicted secretion signal; SSP: small secreted protein",NA,"Down","Down","Down"
"Ophio5|3333","","","",1,"Up","Down","Down"
"Ophio5|3334","GO:0055114|oxidation-reduction process;GO:0016972|thiol oxidase activity","PF04777.8|Evr1_Alr","SignalP: has predicted secretion signal; SSP: small secreted protein",1,"Down","Down","Down"
"Ophio5|3335","GO:0051603|proteolysis involved in cellular protein catabolic process;GO:0005839|proteasome core complex;GO:0004298|threonine-type endopeptidase activity","PF00227.21|Proteasome","",NA,"Up","Up","Up"
"Ophio5|3336","GO:0000079|regulation of cyclin-dependent protein serine/threonine kinase activity;GO:0019901|protein kinase binding","PF08613.6|Cyclin;PF08613.6|Cyclin","",NA,"Up","Up","Down"
"Ophio5|3337","","","",NA,"Up","Up","Up"
"Ophio5|3338","","","",NA,"Up","Up","Down"
"Ophio5|3339","GO:0009228|thiamine biosynthetic process;GO:0042823|pyridoxal phosphate biosynthetic process;GO:0036355|2-iminoacetate synthase activity","PF01680.12|SOR_SNZ;PF05690.9|ThiG","",NA,"Up","Up","Up"
"Ophio5|334","","","",NA,"Down","Down","Down"
"Ophio5|3340","","","",NA,"Down","Up","Up"
"Ophio5|3341","","PF00652.17|Ricin_B_lectin;PF00652.17|Ricin_B_lectin","SignalP: has predicted secretion signal; SSP: small secreted protein",NA,"Up","Up","Down"
"Ophio5|3342","GO:0009236|cobalamin biosynthetic process;GO:0003824|catalytic activity","PF01174.14|SNO;PF07685.9|GATase_3","",NA,"Up","Up","Down"
"Ophio5|3343","","","SignalP: has predicted secretion signal; SSP: small secreted protein",NA,"Up","Up","Up"
"Ophio5|3344","","","",NA,"Up","Up","Up"
"Ophio5|3345","","PF06738.7|DUF1212;PF12821.2|DUF3815;PF12821.2|DUF3815","",9,"Up","Up","Up"
"Ophio5|3346","","","",1,"Up","Up","Up"
"Ophio5|3347","GO:0016307|phosphatidylinositol phosphate kinase activity;GO:0046488|phosphatidylinositol metabolic process","PF01504.13|PIP5K","",NA,"Down","Down","Up"
"Ophio5|3348","","PF04982.8|HPP","",5,"Up","Up","Down"
"Ophio5|3349","","","",NA,"Down","Up","Up"
"Ophio5|335","","PF04109.11|APG9","",5,"Down","Down","Down"
"Ophio5|3350","","","",1,"Down","Down","Up"
"Ophio5|3351","GO:0005515|protein binding","PF00622.23|SPRY","",1,"Down","Down","Down"
"Ophio5|3352","","","",NA,"Up","Up","Down"
"Ophio5|3353","","","",NA,"Up","Up","Down"
"Ophio5|3354","GO:0009055|electron carrier activity;GO:0005506|iron ion binding;GO:0020037|heme binding","PF02167.10|Cytochrom_C1","",NA,"Up","Up","Up"
"Ophio5|3355","","PF13516.1|LRR_6;PF13516.1|LRR_6","",NA,"Down","Up","Up"
"Ophio5|3356","","","",NA,"Down","Down","Down"
"Ophio5|3357","GO:0019773|proteasome core complex, alpha-subunit complex;GO:0051603|proteolysis involved in cellular protein catabolic process;GO:0006511|ubiquitin-dependent protein catabolic process;GO:0005839|proteasome core complex;GO:0004175|endopeptidase activity;GO:0004298|threonine-type endopeptidase activity","PF00227.21|Proteasome;PF00227.21|Proteasome;PF10584.4|Proteasome_A_N","",NA,"Down","Up","Up"
"Ophio5|3358","GO:0003677|DNA binding;GO:0003887|DNA-directed DNA polymerase activity;GO:0006351|transcription, DNA-templated","PF04931.8|DNA_pol_phi;PF04931.8|DNA_pol_phi","",NA,"Up","Up","Up"
"Ophio5|3359","GO:0006355|regulation of transcription, DNA-templated;GO:0005634|nucleus","PF02671.16|PAH;PF02671.16|PAH;PF02671.16|PAH;PF08295.7|Sin3_corepress","",NA,"Up","Up","Up"
"Ophio5|336","GO:0006810|transport;GO:0005215|transporter activity;GO:0016020|membrane","PF01566.13|Nramp","",9,"Down","Down","Up"
"Ophio5|3360","","","",NA,"Down","Up","Up"
"Ophio5|3361","","","",NA,"Up","Up","Down"
"Ophio5|3362","","","SignalP: has predicted secretion signal; SSP: small secreted protein",NA,"Up","Up","Down"
"Ophio5|3363","","","",NA,"Up","Up","Up"
"Ophio5|3364","GO:0005515|protein binding","PF00400.27|WD40;PF00400.27|WD40;PF00400.27|WD40","",NA,"Up","Up","Down"
"Ophio5|3365","","","",NA,"Up","Up","Up"
"Ophio5|3366","GO:0005975|carbohydrate metabolic process;GO:0030259|lipid glycosylation;GO:0016758|transferase activity, transferring hexosyl groups","PF02893.15|GRAM;PF02893.15|GRAM;PF03033.15|Glyco_transf_28;PF00169.24|PH","",NA,"Up","Up","Up"
"Ophio5|3367","GO:0016592|mediator complex;GO:0001104|RNA polymerase II transcription cofactor activity;GO:0006357|regulation of transcription from RNA polymerase II promoter","PF09497.5|Med12","",NA,"Down","Down","Down"
"Ophio5|3368","","","",NA,"Down","Down","Up"
"Ophio5|3369","","PF13883.1|Pyrid_oxidase_2","SignalP: has predicted secretion signal; SSP: small secreted protein",NA,"Up","Down","Down"
"Ophio5|337","GO:0016787|hydrolase activity","PF00753.22|Lactamase_B","",NA,"Down","Down","Down"
"Ophio5|3370","GO:0005524|ATP binding;GO:0004672|protein kinase activity;GO:0004674|protein serine/threonine kinase activity;GO:0006468|protein phosphorylation","PF00069.20|Pkinase;PF07714.12|Pkinase_Tyr;PF07714.12|Pkinase_Tyr;PF00433.19|Pkinase_C","",NA,"Down","Up","Up"
"Ophio5|3371","GO:0008270|zinc ion binding;GO:0006355|regulation of transcription, DNA-templated;GO:0043565|sequence-specific DNA binding;GO:0003700|sequence-specific DNA binding transcription factor activity","PF00320.22|GATA;PF08550.5|DUF1752","",NA,"Down","Down","Down"
"Ophio5|3372","","","",NA,"Down","Down","Down"
"Ophio5|3373","","","",NA,"Up","Down","Down"
"Ophio5|3374","GO:0006396|RNA processing","PF09429.5|Wbp11","",NA,"Down","Down","Up"
"Ophio5|3375","GO:0016021|integral component of membrane;GO:0055085|transmembrane transport;GO:0022857|transmembrane transporter activity","PF07690.11|MFS_1;PF00083.19|Sugar_tr","",12,"Up","Up","Down"
"Ophio5|3376","","PF04127.10|DFP","",2,"Down","Down","Down"
"Ophio5|3377","GO:0008080|N-acetyltransferase activity","PF13508.1|Acetyltransf_7;PF00583.19|Acetyltransf_1","",NA,"Up","Up","Down"
"Ophio5|3378","GO:0003676|nucleic acid binding","PF08784.6|RPA_C;PF01336.20|tRNA_anti-codon","",NA,"Up","Up","Down"
"Ophio5|3379","GO:0016887|ATPase activity;GO:0004176|ATP-dependent peptidase activity;GO:0004252|serine-type endopeptidase activity;GO:0005524|ATP binding;GO:0006508|proteolysis","PF05362.8|Lon_C;PF02190.11|LON;PF00004.24|AAA;PF13541.1|ChlI;PF07728.9|AAA_5","SignalP: has predicted secretion signal",NA,"Up","Up","Down"
"Ophio5|338","","PF00988.17|CPSase_sm_chain;PF00117.23|GATase;PF08252.6|Leader_CPA1","",NA,"Up","Up","Down"
"Ophio5|3380","GO:0006629|lipid metabolic process","PF11815.3|DUF3336;PF01734.17|Patatin","",1,"Down","Down","Up"
"Ophio5|3381","GO:0007264|small GTPase mediated signal transduction;GO:0005634|nucleus;GO:0005737|cytoplasm;GO:0005525|GTP binding;GO:0005622|intracellular","PF00025.16|Arf;PF08477.8|Miro;PF09439.5|SRPRB;PF01926.18|MMR_HSR1;PF00071.17|Ras;PF04670.7|Gtr1_RagA","",NA,"Up","Up","Down"
"Ophio5|3382","","PF10446.4|DUF2457","",NA,"Up","Up","Down"
"Ophio5|3383","GO:0045261|proton-transporting ATP synthase complex, catalytic core F(1);GO:0015986|ATP synthesis coupled proton transport;GO:0046961|proton-transporting ATPase activity, rotational mechanism;GO:0046933|proton-transporting ATP synthase activity, rotational mechanism","PF02823.11|ATP-synt_DE_N","",NA,"Up","Up","Up"
"Ophio5|3384","","","",NA,"Down","Down","Down"
"Ophio5|3385","","PF10032.4|Pho88","",1,"Up","Up","Down"
"Ophio5|3386","GO:0003333|amino acid transmembrane transport;GO:0006810|transport;GO:0055085|transmembrane transport;GO:0016020|membrane;GO:0015171|amino acid transmembrane transporter activity","PF13520.1|AA_permease_2;PF00324.16|AA_permease","",12,"Down","Down","Down"
"Ophio5|3387","","","SignalP: has predicted secretion signal; SSP: small secreted protein",NA,"Down","Down","Up"
"Ophio5|3388","","","SignalP: has predicted secretion signal; SSP: small secreted protein",NA,"Up","Up","Down"
"Ophio5|3389","","PF00561.15|Abhydrolase_1;PF12697.2|Abhydrolase_6","SignalP: has predicted secretion signal",NA,"Up","Up","Down"
"Ophio5|339","","","",NA,"Down","Down","Down"
"Ophio5|3390","","","",NA,"Up","Up","Up"
"Ophio5|3391","GO:0016021|integral component of membrane;GO:0055085|transmembrane transport;GO:0022857|transmembrane transporter activity","PF07690.11|MFS_1;PF00083.19|Sugar_tr","",9,"Down","Down","Up"
"Ophio5|3392","GO:0003824|catalytic activity;GO:0050662|coenzyme binding;GO:0044237|cellular metabolic process;GO:0008152|metabolic process","PF07993.7|NAD_binding_4;PF00501.23|AMP-binding;PF01370.16|Epimerase;PF00550.20|PP-binding","",NA,"Down","Down","Down"
"Ophio5|3393","GO:0003333|amino acid transmembrane transport;GO:0006810|transport;GO:0055085|transmembrane transport;GO:0016020|membrane;GO:0015171|amino acid transmembrane transporter activity","PF13520.1|AA_permease_2;PF00324.16|AA_permease","SignalP: has predicted secretion signal",8,"Up","Down","Down"
"Ophio5|3394","GO:0003854|3-beta-hydroxy-delta5-steroid dehydrogenase activity;GO:0055114|oxidation-reduction process;GO:0044237|cellular metabolic process;GO:0008152|metabolic process;GO:0050662|coenzyme binding;GO:0006694|steroid biosynthetic process;GO:0003824|catalytic activity;GO:0016616|oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","PF00501.23|AMP-binding;PF07993.7|NAD_binding_4;PF01370.16|Epimerase;PF01073.14|3Beta_HSD","",NA,"Up","Down","Down"
"Ophio5|3395","","","",NA,"Up","Down","Down"
"Ophio5|3396","GO:0005506|iron ion binding;GO:0055114|oxidation-reduction process;GO:0016705|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen;GO:0020037|heme binding","PF00067.17|p450","",NA,"Up","=","Down"
"Ophio5|3397","GO:0006813|potassium ion transport","PF13460.1|NAD_binding_10;PF05368.8|NmrA;PF02254.13|TrkA_N","",NA,"Up","Up","Down"
"Ophio5|3398","GO:0016491|oxidoreductase activity;GO:0055114|oxidation-reduction process;GO:0005506|iron ion binding;GO:0006633|fatty acid biosynthetic process","PF04116.8|FA_hydroxylase","",4,"Up","Up","Down"
"Ophio5|3399","","PF07366.7|SnoaL","",NA,"Up","Up","Up"
"Ophio5|34","GO:0055114|oxidation-reduction process;GO:0005975|carbohydrate metabolic process;GO:0004367|glycerol-3-phosphate dehydrogenase [NAD+] activity;GO:0051287|NAD binding;GO:0046168|glycerol-3-phosphate catabolic process;GO:0005737|cytoplasm;GO:0016616|oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","PF07479.9|NAD_Gly3P_dh_C;PF01210.18|NAD_Gly3P_dh_N","",NA,"Up","Up","Down"
"Ophio5|340","GO:0003676|nucleic acid binding","PF14327.1|CSTF2_hinge;PF00076.17|RRM_1;PF14259.1|RRM_6;PF13893.1|RRM_5;PF14304.1|CSTF_C","",NA,"Up","Up","Up"
"Ophio5|3400","GO:0016491|oxidoreductase activity;GO:0055114|oxidation-reduction process;GO:0005506|iron ion binding;GO:0006633|fatty acid biosynthetic process","PF04116.8|FA_hydroxylase","",3,"Up","Up","Down"
"Ophio5|3401","GO:0016491|oxidoreductase activity;GO:0008152|metabolic process","PF00106.20|adh_short;PF13561.1|adh_short_C2;PF08659.5|KR","",NA,"Up","Up","Down"
"Ophio5|3402","GO:0005975|carbohydrate metabolic process","PF00923.14|Transaldolase","",NA,"Up","Up","Down"
"Ophio5|3403","GO:0016491|oxidoreductase activity;GO:0003824|catalytic activity;GO:0008152|metabolic process;GO:0050662|coenzyme binding;GO:0044237|cellular metabolic process","PF00106.20|adh_short;PF08659.5|KR;PF01370.16|Epimerase","",NA,"Up","Up","Down"
"Ophio5|3404","GO:0016491|oxidoreductase activity;GO:0008152|metabolic process","PF00106.20|adh_short;PF13561.1|adh_short_C2;PF08659.5|KR","",NA,"Up","Up","Down"
"Ophio5|3405","GO:0003854|3-beta-hydroxy-delta5-steroid dehydrogenase activity;GO:0055114|oxidation-reduction process;GO:0044237|cellular metabolic process;GO:0050662|coenzyme binding;GO:0006694|steroid biosynthetic process;GO:0009058|biosynthetic process;GO:0003824|catalytic activity;GO:0016616|oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","PF01370.16|Epimerase;PF01073.14|3Beta_HSD;PF13460.1|NAD_binding_10;PF07993.7|NAD_binding_4;PF05368.8|NmrA;PF02719.10|Polysacc_synt_2","",NA,"Up","Up","Down"
"Ophio5|3406","","","",NA,"Down","Down","Down"
"Ophio5|3407","GO:0008138|protein tyrosine/serine/threonine phosphatase activity;GO:0006470|protein dephosphorylation","PF00782.15|DSPc","SignalP: has predicted secretion signal",NA,"Up","Up","Down"
"Ophio5|3408","GO:0016020|membrane;GO:0015205|nucleobase transmembrane transporter activity;GO:0015851|nucleobase transport","PF02133.10|Transp_cyt_pur","",12,"Up","Up","Down"
"Ophio5|3409","","","SignalP: has predicted secretion signal; SSP: small secreted protein",NA,"Down","Down","Down"
"Ophio5|341","","PF07970.7|COPIIcoated_ERV;PF13850.1|ERGIC_N","",2,"Down","Down","Down"
"Ophio5|3410","GO:0006855|drug transmembrane transport;GO:0015297|antiporter activity;GO:0015238|drug transmembrane transporter activity;GO:0016020|membrane;GO:0055085|transmembrane transport","PF01554.13|MatE;PF01554.13|MatE","",9,"Up","Down","Down"
"Ophio5|3411","","PF05181.7|XPA_C","",NA,"Down","Down","Up"
"Ophio5|3412","","","",NA,"Up","Up","Up"
"Ophio5|3413","","","SignalP: has predicted secretion signal; SSP: small secreted protein",NA,"Down","Up","Up"
"Ophio5|3414","","","",NA,"=","Up","Up"
"Ophio5|3415","GO:0006886|intracellular protein transport;GO:0016192|vesicle-mediated transport","PF00637.15|Clathrin;PF12451.3|VPS11_C","",NA,"Down","Up","Up"
"Ophio5|3416","GO:0005515|protein binding","PF08232.7|Striatin;PF00400.27|WD40;PF00400.27|WD40;PF00400.27|WD40;PF00400.27|WD40","",NA,"Up","Up","Up"
"Ophio5|3417","","PF10017.4|Methyltransf_33","",NA,"Up","Up","Down"
"Ophio5|3418","GO:0003824|catalytic activity;GO:0008152|metabolic process","PF00501.23|AMP-binding;PF00501.23|AMP-binding;PF00501.23|AMP-binding;PF00501.23|AMP-binding;PF00501.23|AMP-binding;PF00501.23|AMP-binding;PF00501.23|AMP-binding;PF00668.15|Condensation;PF00668.15|Condensation;PF00668.15|Condensation;PF00668.15|Condensation;PF00668.15|Condensation;PF00668.15|Condensation;PF00668.15|Condensation;PF00668.15|Condensation;PF00668.15|Condensation;PF00550.20|PP-binding;PF00550.20|PP-binding;PF00550.20|PP-binding;PF00550.20|PP-binding;PF00550.20|PP-binding;PF00550.20|PP-binding;PF13193.1|AMP-binding_C;PF13193.1|AMP-binding_C","",NA,"Up","Up","Down"
"Ophio5|3419","","","",NA,"Up","Up","Down"
