"ophio_gene","beau_gene","ophio_desc","beau_desc","ophcf2_protein","beau_protein","evalue_ab","bitscore_ab","evalue_ba","bitscore_ba"
"GQ602_006316","BBA_07643","DNA-directed RNA polymerase","DNA-dependent RNA polymerase","KAF4583172.1","XP_008600962.1",0,1488,0,1476
"GQ602_006317","BBA_09528","methionyl-tRNA synthetase","GU4 nucleic-binding protein","KAF4583173.1","XP_008602847.1",1.4e-51,168,6e-57,181
"GQ602_006318","BBA_07629","ISWI chromatin-remodeling complex ATPase ISW2","SNF2 family DNA-dependent ATPase","KAF4583174.1","XP_008600948.1",0,954,0,983
"GQ602_006319","BBA_07628","ankyrin repeat containing protein","ankyrin repeat containing protein","KAF4583175.1","XP_008600947.1",0,1569,0,1559
"GQ602_006321","BBA_08941","quinone oxidoreductase","quinone oxidoreductase","KAF4583177.1","XP_008602260.1",2.6e-109,320,1.57e-116,338
"GQ602_006322","BBA_08940","UDP-glucose 4-epimerase","UDP-glucose 4-epimerase Gal10","KAF4583178.1","XP_008602259.1",0,645,0,645
"GQ602_006323","BBA_08939","spindle pole body-associated protein sad1","spindle pole body-associated protein sad1","KAF4583179.1","XP_008602258.1",1.16e-143,451,2.92e-143,450
"GQ602_006324","BBA_08938","ATP-dependent RNA helicase DBP4","putative RNA helicase HCA4","KAF4583180.1","XP_008602257.1",0,1063,0,1033
"GQ602_006326","BBA_08936","pre-rRNA-processing protein ESF1","pre-rRNA-processing protein ESF1","KAF4583182.1","XP_008602255.1",0,657,0,670
"GQ602_006327","BBA_08933","Regulator of G protein signaling superfamily","hypothetical protein BBA_08933","KAF4583183.1","XP_008602252.1",0,642,0,619
"GQ602_006329","BBA_04975","NRPS-like enzyme","AMP-binding enzyme","KAF4583185.1","XP_008598294.1",0,1072,0,1072
"GQ602_006330","BBA_08930","hypothetical protein GQ602_006330","hypothetical protein BBA_08930","KAF4583186.1","XP_008602249.1",1.26e-139,395,1.76e-142,402
"GQ602_006331","BBA_08927","nucleoporin Nup157/170","non-repetitive/WGA-negative nucleoporin","KAF4583187.1","XP_008602246.1",0,2165,0,2157
"GQ602_006335","BBA_00982","histidyl-tRNA synthetase","histidyl-tRNA synthetase","KAF4583191.1","XP_008594301.1",0,567,0,572
"GQ602_006336","BBA_08926","3-ketoacyl-CoA reductase","short chain dehydrogenase","KAF4583192.1","XP_008602245.1",5.28e-177,492,3.27e-165,462
"GQ602_006338","BBA_02174","transmembrane domain-containing protein","transmembrane domain-containing protein","KAF4583194.1","XP_008595493.1",3.96e-82,239,2.82e-82,239
"GQ602_006339","BBA_02173","galactose-1-phosphate uridylyltransferase","galactose-1-phosphate uridylyltransferase","KAF4583195.1","XP_008595492.1",0,629,0,629
"GQ602_006340","BBA_02171","hypothetical protein GQ602_006340","Cdc25 family phosphatase Ibp1","KAF4583196.1","XP_008595490.1",1.15e-58,179,1.74e-49,156
"GQ602_006341","BBA_02172","transcriptional adaptor-like protein","transcriptional adaptor-like protein","KAF4583197.1","XP_008595491.1",0,827,0,822
"GQ602_006343","BBA_02169","hypothetical protein GQ602_006343","HD domain-containing protein","KAF4583199.1","XP_008595488.1",1.31e-116,332,1.51e-110,317
"GQ602_006344","BBA_02163","hypothetical protein GQ602_006344","hypothetical protein BBA_02163","KAF4583200.1","XP_008595482.1",9.98e-60,202,5.51e-69,226
"GQ602_006346","BBA_02160","phosphate:H+ symporter","H+ symporter","KAF4583202.1","XP_008595479.1",0,796,0,799
"GQ602_006347","BBA_02159","homoserine o-acetyltransferase","homoserine O-acetyltransferase","KAF4583203.1","XP_008595478.1",0,707,0,699
"GQ602_006348","BBA_02158","tho2 protein","THO complex subunit 2","KAF4583204.1","XP_008595477.1",0,1954,0,2005
"GQ602_006349","BBA_02157","Transmembrane protein","DUF300 domain protein, putative","KAF4583205.1","XP_008595476.1",0,610,0,578
"GQ602_006353","BBA_02152","1-phosphatidylinositol phosphodiesterase","phosphatidylinositol-specific phospholipase C","KAF4583209.1","XP_008595471.1",1.28e-88,271,1.69e-88,270
"GQ602_006354","BBA_02149","DUF221 domain-containing protein","phosphate metabolism protein","KAF4583210.1","XP_008595468.1",0,983,0,990
"GQ602_006359","BBA_04060","Heat-labile enterotoxin IIA, A chain","hypothetical protein BBA_04060","KAF4583215.1","XP_008597379.1",9.98e-47,176,8.9e-47,176
"GQ602_006365","BBA_08166","Translation initiation factor eIF-2B subunit alpha","initiation factor 2 subunit family protein","KAF4583221.1","XP_008601485.1",6.03e-166,464,1.82e-177,493
"GQ602_006366","BBA_08167","DUF323 domain protein","DUF323 domain-containing protein","KAF4583222.1","XP_008601486.1",0,1025,0,1008
"GQ602_006367","BBA_07556","SPG20 protein","SPG20 protein","KAF4583223.1","XP_008600875.1",0,548,0,543
"GQ602_006368","BBA_07557","Spc97 / Spc98 family protein","Spc97/Spc98 family protein","KAF4583224.1","XP_008600876.1",0,609,0,598
"GQ602_006371","BBA_07561","DUF408 domain protein","Rtr1/RPAP2 family protein","KAF4583227.1","XP_008600880.1",4.14e-88,260,1.01e-88,261
"GQ602_006372","BBA_07562","40S ribosomal protein S17","40S ribosomal protein S17","KAF4583228.1","XP_008600881.1",2.03e-86,247,1.47e-84,242
"GQ602_006373","BBA_07563","hypothetical protein GQ602_006373","hypothetical protein BBA_07563","KAF4583229.1","XP_008600882.1",6.84e-119,352,5.1e-119,352
"GQ602_006374","BBA_07564","queuine tRNA-ribosyltransferase","queuine tRNA-ribosyltransferase","KAF4583230.1","XP_008600883.1",0,633,0,633
"GQ602_006376","BBA_07565","histone deacetylase HosB","histone deacetylase domain-containing protein","KAF4583232.1","XP_008600884.1",0,829,0,800
"GQ602_006377","BBA_07566","histidinol-phosphatase","histidinol phosphate phosphatase HisJ family protein","KAF4583233.1","XP_008600885.1",1.24e-151,426,5.66e-154,432
"GQ602_006383","BBA_07580","ERV2 protein-like protein","FAD-linked sulfhydryl oxidase ERV2","KAF4583239.1","XP_008600899.1",2.09e-70,213,4.74e-63,194
"GQ602_006384","BBA_07581","proteasome component PRE3 precursor","proteasome A-type and B-type","KAF4583240.1","XP_008600900.1",3.62e-148,411,2.16e-148,411
"GQ602_006387","BBA_07585","tyrosinase precursor","tyrosinase precursor","KAF4583243.1","XP_008600904.1",0,671,0,671
"GQ602_006388","BBA_07588","l-allo-threonine aldolase","beta-eliminating lyase","KAF4583244.1","XP_008600907.1",2.93e-165,466,1.09e-160,454
"GQ602_006389","BBA_07587","arf/Sar family, other","ADP-ribosylation factor 1","KAF4583245.1","XP_008600906.1",2.12e-116,326,1.52e-116,326
"GQ602_006390","BBA_07586","DNA-directed RNA polymerase I subunit RPA2","RNA polymerase Rpb2","KAF4583246.1","XP_008600905.1",0,1796,0,1784
"GQ602_006391","BBA_07623","trehalase precursor","trehalase-like protein","KAF4583247.1","XP_008600942.1",0,699,0,669
"GQ602_006392","BBA_07622","UPF0145 domain-containing protein","yjfJ-like protein","KAF4583248.1","XP_008600941.1",2.7e-71,211,1.61e-71,211
"GQ602_006394","BBA_06329","Iron sulfur cluster assembly protein 1","iron sulfur cluster assembly protein 1","KAF4583250.1","XP_008599648.1",1.76e-75,223,7.56e-76,224
"GQ602_006395","BBA_07034","dipeptidyl aminopeptidase","dipeptidyl aminopeptidase","KAF4583251.1","XP_008600353.1",0,910,0,910
"GQ602_006396","BBA_07033","clathrin heavy chain","Hypothetical protein BBA_07033","KAF4583252.1","XP_008600352.1",0,2964,0,2964
"GQ602_006398","BBA_01902","glyoxylate reductase","glyoxylate reductase","KAF4583254.1","XP_008595221.1",2.96e-113,338,4.12e-124,366
"GQ602_006399","BBA_01903","Adenosylhomocysteinase","adenosylhomocysteinase","KAF4583255.1","XP_008595222.1",0,818,0,818
"GQ602_006400","BBA_01904","Eukaryotic translation initiation factor 3 subunit H","Mov34/MPN/PAD-1 family protein","KAF4583256.1","XP_008595223.1",0,582,0,594
"GQ602_006401","BBA_01905","UPF0643 protein","UPF0643 protein","KAF4583257.1","XP_008595224.1",6.95e-95,274,5.23e-95,274
"GQ602_006402","BBA_01906","hypothetical protein GQ602_006402","mitochondrial carrier protein (Pet8)","KAF4583258.1","XP_008595225.1",3.16e-47,156,6.5e-43,144
"GQ602_006404","BBA_07028","succinate dehydrogenase iron-sulfur protein","succinate dehydrogenase and fumarate reductase iron-sulfur protein","KAF4583260.1","XP_008600347.1",3.18e-178,490,4.95e-176,484
"GQ602_006406","BBA_01909","pH-response regulator protein palC","pH-response regulator protein palC","KAF4583262.1","XP_008595228.1",0,522,0,533
"GQ602_006407","BBA_07035","hypothetical protein GQ602_006407","glycosyltransferase family 57","KAF4583263.1","XP_008600354.1",0,792,0,771
"GQ602_006408","BBA_07037","50S ribosomal protein LP2","60S acidic ribosomal protein P2, putative","KAF4583264.1","XP_008600356.1",1.91e-18,74.7,1.43e-21,82
"GQ602_006409","BBA_07038","chromatin SPT2","Chromatin SPT2","KAF4583265.1","XP_008600357.1",3.3e-40,144,3e-48,165
"GQ602_006410","BBA_07039","nuclear fragile X mental retardation-interacting protein 1","nuclear fragile X mental retardation-interacting protein 1","KAF4583266.1","XP_008600358.1",3.11e-110,340,3.78e-123,374
"GQ602_006411","BBA_07040","RNA polymerase III subunit Rpc25","RNA polymerase III subunit Rpc25","KAF4583267.1","XP_008600359.1",1.06e-118,333,7.66e-119,333
"GQ602_006412","BBA_07041","DUF850 domain protein","protein UCP010045, transmembrane","KAF4583268.1","XP_008600360.1",1.14e-141,396,2.59e-145,405
"GQ602_006413","BBA_06612","DUF3112 domain protein","hypothetical protein BBA_06612","KAF4583269.1","XP_008599931.1",2.25e-69,228,1.56e-76,246
"GQ602_006416","BBA_06617","conidial pigment biosynthesis scytalone dehydratase Arp1","conidial pigment biosynthesis scytalone dehydratase Arp1","KAF4583272.1","XP_008599936.1",4.01e-95,271,2.75e-95,271
"GQ602_006417","BBA_06613","Beta-ketoacyl synthase","polyketide synthase","KAF4583273.1","XP_008599932.1",0,2808,0,2818
"GQ602_006420","BBA_03303","6-hydroxy-D-nicotine oxidase","FAD binding domain-containing protein","KAF4583276.1","XP_008596622.1",5.07e-118,355,7.63e-133,392
"GQ602_006421","BBA_07842","Cyanide hydratase","cyanide hydratase","KAF4583277.1","XP_008601161.1",0,573,0,573
"GQ602_006422","BBA_09338","Catalase-peroxidase","catalase/peroxidase HPI","KAF4583278.1","XP_008602657.1",0,1040,0,1040
"GQ602_006429","BBA_02464","cyclin-like F-box","hypothetical protein BBA_02464","KAF4583285.1","XP_008595783.1",6.96e-118,349,1.17e-116,345
"GQ602_006430","BBA_07042","microsomal signal peptidase subunit","microsomal signal peptidase 25 kDa subunit","KAF4583286.1","XP_008600361.1",9.24e-87,254,3.47e-67,204
"GQ602_006431","BBA_07043","DNA repair/transcription protein mms19","HEAT repeat containing protein","KAF4583287.1","XP_008600362.1",0,991,0,976
"GQ602_006432","BBA_07044","F1F0 ATP synthase assembly protein Atp11","ATP11 protein","KAF4583288.1","XP_008600363.1",2.81e-123,355,4e-126,363
"GQ602_006434","BBA_07045","ab-hydrolase associated lipase","sterol esterase","KAF4583290.1","XP_008600364.1",0,671,0,688
"GQ602_006435","BBA_07046","Peroxisomal biogenesis factor 6","ATPase protein","KAF4583291.1","XP_008600365.1",0,1738,0,1737
"GQ602_006437","BBA_06752","Cytochrome b mRNA-processing protein 4","ubiquinol--cytochrome-c reductase assembly factor","KAF4583293.1","XP_008600071.1",6.35e-38,122,1.71e-43,136
"GQ602_006438","BBA_07788","oligopeptide transporter OPT-like protein","OPT family small oligopeptide transporter","KAF4583294.1","XP_008601107.1",0,1160,0,1139
"GQ602_006439","BBA_06748","Nascent polypeptide-associated complex subunit beta","putative transcription factor BTF3a","KAF4583295.1","XP_008600067.1",8.04e-72,213,3.72e-87,251
"GQ602_006440","BBA_06747","tRNA-specific adenosine deaminase","adenosine-deaminase domain-containing protein","KAF4583296.1","XP_008600066.1",1.55e-140,406,5.45e-138,399
"GQ602_006441","BBA_06746","60S ribosomal protein L24","60S ribosomal protein L24","KAF4583297.1","XP_008600065.1",1.64e-68,203,1.02e-74,219
"GQ602_006442","BBA_06733","40S ribosomal protein S4","ribosomal family S4e","KAF4583298.1","XP_008600052.1",0,504,0,504
"GQ602_006443","BBA_06732","MYB DNA-binding domain containing protein","MYB DNA-binding domain-containing protein","KAF4583299.1","XP_008600051.1",6.59e-152,443,8.27e-135,399
"GQ602_006444","BBA_06731","DNA-binding domain-containing protein","hypothetical protein BBA_06731","KAF4583300.1","XP_008600050.1",5.82e-54,166,3.75e-54,166
"GQ602_006446","BBA_06729","putative septin aspE","Cell division/GTP binding protein","KAF4583302.1","XP_008600048.1",1.23e-170,491,2.9e-159,462
"GQ602_005398","BBA_08699","non-ribosomal peptide synthetase","nonribosomal peptide synthase, putative","KAF4584025.1","XP_008602018.1",9.29e-138,439,7.56e-131,419
"GQ602_005400","BBA_00645","NmrA family transcriptional regulator","NmrA-like family protein","KAF4584027.1","XP_008593964.1",1.7e-87,263,9.65e-90,269
"GQ602_005403","BBA_06758","ATPase, P-type, transmembrane domain protein","Na/K ATPase alpha 1 subunit, putative","KAF4584030.1","XP_008600077.1",0,1481,0,1431
"GQ602_005404","BBA_05769","delta12 fatty acid desaturase","fatty acid desaturase","KAF4584031.1","XP_008599088.1",0,706,0,714
"GQ602_005405","BBA_05774","Rab-GAP/TBC domain protein","TBC domain-containing protein","KAF4584032.1","XP_008599093.1",0,852,0,751
"GQ602_005406","BBA_05772","T-complex protein 1 subunit beta","T-complex protein 1, beta subunit","KAF4584033.1","XP_008599091.1",0,994,0,938
"GQ602_005407","BBA_05771","eukaryotic translation initiation factor 3","eukaryotic translation initiation factor 3","KAF4584034.1","XP_008599090.1",0,1207,0,1274
"GQ602_005408","BBA_05770","IRE protein kinase","serine/threonine kinase IREI","KAF4584035.1","XP_008599089.1",0,1480,0,1459
"GQ602_005409","BBA_05776","hypothetical protein GQ602_005409","zinc finger protein","KAF4584036.1","XP_008599095.1",0,677,0,681
"GQ602_005410","BBA_05775","SWIB/MDM2 domain protein","DEK C terminal domain-containing protein","KAF4584037.1","XP_008599094.1",6.37e-117,335,9.16e-117,335
"GQ602_005411","BBA_05777","E3 ubiquitin-protein ligase hel2","putative HRQ family protein 2","KAF4584038.1","XP_008599096.1",3.38e-117,340,2.65e-117,340
"GQ602_005414","BBA_02990","geranylgeranyl transferase type I beta subunit","prenyltransferase and squalene oxidase","KAF4584041.1","XP_008596309.1",1.62e-62,206,9.99e-59,196
"GQ602_005415","BBA_03024","increased loss of mitochondrial DNA protein 1","hypothetical protein BBA_03024","KAF4584042.1","XP_008596343.1",1.22e-70,211,1.64e-75,223
"GQ602_005416","BBA_03021","Helicase SWR1","SNF2 family domain-containing protein","KAF4584043.1","XP_008596340.1",0,1904,0,1888
"GQ602_005417","BBA_03020","NADH dehydrogenase (ubiquinone) 1 beta subcomplex 8","NADH:ubiquinone oxidoreductase 20.1kD subunit","KAF4584044.1","XP_008596339.1",5.84e-90,259,4.34e-90,259
"GQ602_005421","BBA_03017","Methylthioribose-1-phosphate isomerase","S-methyl-5-thioribose-1-phosphate isomerase","KAF4584048.1","XP_008596336.1",0,584,0,575
"GQ602_005422","BBA_03016","acetylornithine deacetylase","peptidase family protein","KAF4584049.1","XP_008596335.1",2.52e-144,415,5.05e-145,416
"GQ602_005423","BBA_03018","Trafficking protein particle complex subunit 10","TMEM1 family protein","KAF4584050.1","XP_008596337.1",0,1423,0,1410
"GQ602_005424","BBA_03014","bZIP transcription factor","bZIP transcription factor","KAF4584051.1","XP_008596333.1",5.35e-85,245,9.35e-78,226
"GQ602_005426","BBA_05787","hypothetical protein GQ602_005426","AN1-type zinc finger protein","KAF4584053.1","XP_008599106.1",9.37e-45,136,6.7e-45,136
"GQ602_005427","BBA_09873","DNA glycosylase","HhH-GPD superfamily base excision DNA repair protein","KAF4584054.1","XP_008603192.1",4.54e-133,382,2.07e-133,383
"GQ602_005429","BBA_09355","S-(hydroxymethyl)glutathione dehydrogenase","glutathione-dependent formaldehyde dehydrogenase","KAF4584056.1","XP_008602674.1",0,674,0,674
"GQ602_005430","BBA_05083","nuclear pore complex subunit Nup85","nuclear pore complex subunit Nup85","KAF4584057.1","XP_008598402.1",0,1096,0,1048
"GQ602_005432","BBA_05080","protein kinase-like protein","protein kinase","KAF4584059.1","XP_008598399.1",0,1061,0,1056
"GQ602_005433","BBA_03372","interferon-induced GTP-binding protein Mx2","dynamin family protein","KAF4584060.1","XP_008596691.1",2.57e-146,443,1.44e-148,448
"GQ602_005434","BBA_07072","putative cytochrome b5","Cytochrome b5-like Heme/Steroid binding domain containing protein","KAF4584061.1","XP_008600391.1",9.02e-37,117,6.44e-37,117
"GQ602_005435","BBA_07073","Mitochondrial metalloendopeptidase OMA1","peptidase family M48","KAF4584062.1","XP_008600392.1",1.29e-67,217,8.78e-68,218
"GQ602_005436","BBA_07074","TAM domain-containingmethyltransferase","methyltransferase domain-containing protein","KAF4584063.1","XP_008600393.1",3.9e-139,395,2.68e-139,395
"GQ602_005437","BBA_07075","kinesin family protein","kinesin heavy chain","KAF4584064.1","XP_008600394.1",0,2158,0,2330
"GQ602_005439","BBA_07076","telomere capping, CST complex subunit domain-containing protein","hypothetical protein BBA_07076","KAF4584066.1","XP_008600395.1",6.1e-37,120,1.32e-31,107
"GQ602_005440","BBA_07078","Leukotriene A-4 hydrolase","leukotriene A-4 hydrolase/aminopeptidase","KAF4584067.1","XP_008600397.1",0,928,0,928
"GQ602_005443","BBA_06311","plasma membrane channel protein","plasma membrane channel protein Ist2, putative","KAF4584070.1","XP_008599630.1",0,751,0,746
"GQ602_005447","BBA_05759","putative secreted protein","hypothetical protein BBA_05759","KAF4584074.1","XP_008599078.1",2.93e-06,44.7,2.36e-06,44.7
"GQ602_005450","BBA_07080","PX domain-containing protein","PX domain-containing protein","KAF4584077.1","XP_008600399.1",0,1200,0,724
"GQ602_005451","BBA_07081","Transcriptional Coactivator p15 family protein","transcriptional Coactivator p15","KAF4584078.1","XP_008600400.1",1.44e-43,139,1.11e-43,139
"GQ602_005452","BBA_05062","Chaperone protein DnaJ","DnaJ domain-containing protein","KAF4584079.1","XP_008598381.1",3.4e-144,411,4.83e-146,416
"GQ602_005453","BBA_01844","PLC-like phosphodiesterase, TIM beta/alpha-barrel domain protein","tat pathway signal sequence","KAF4584080.1","XP_008595163.1",3.48e-122,351,7.33e-123,352
"GQ602_005454","BBA_01837","iron reductase domain protein","cellobiose dehydrogenase","KAF4584081.1","XP_008595156.1",9.5e-101,307,4.16e-101,308
"GQ602_005456","BBA_01835","ureidoglycolate hydrolase","ureidoglycolate hydrolase","KAF4584083.1","XP_008595154.1",7.63e-60,188,1.12e-60,190
"GQ602_005457","BBA_01834","ureidoglycolate hydrolase","60S ribosomal protein L44","KAF4584084.1","XP_008595153.1",1.87e-111,323,8.17e-112,324
"GQ602_005458","BBA_01833","60S ribosomal protein L44","60S ribosomal protein L44 (L41)","KAF4584085.1","XP_008595152.1",2.98e-72,209,2.25e-72,209
"GQ602_005459","BBA_01832","Coatomer subunit epsilon","coatomer epsilon subunit","KAF4584086.1","XP_008595151.1",5.52e-161,448,3.94e-161,448
"GQ602_005461","BBA_01830","Multiprotein-bridging factor 1","multiprotein bridging factor 1","KAF4584088.1","XP_008595149.1",2.61e-84,243,1.85e-84,243
"GQ602_005464","BBA_06135","COP9 signalosome complex subunit 3","COP9 signalosome complex subunit 3","KAF4584091.1","XP_008599454.1",2.42e-138,406,1.74e-138,406
"GQ602_005468","BBA_07670","Transmembrane amino acid transporter family protein","hypothetical protein BBA_07670","KAF4584095.1","XP_008600989.1",1.3e-19,82,8.67e-19,79
"GQ602_005469","BBA_04974","PLP-dependent transferase","aminotransferase family protein (LolT)","KAF4584096.1","XP_008598293.1",1.62e-135,398,2.62e-136,400
"GQ602_005470","BBA_06137","SNF2-related protein","chromodomain-helicase-DNA-binding protein","KAF4584097.1","XP_008599456.1",0,1521,0,1526
"GQ602_005471","BBA_06138","alpha/beta knot","rRNA (guanine-N1-)-methyltransferase","KAF4584098.1","XP_008599457.1",5.77e-89,285,2.56e-90,288
"GQ602_005476","BBA_06130","calcium- spray protein","calcium-related spray protein","KAF4584103.1","XP_008599449.1",0,962,0,917
"GQ602_005477","BBA_06131","DUF3433 domain protein","hypothetical protein BBA_06131","KAF4584104.1","XP_008599450.1",0,704,0,652
"GQ602_005480","BBA_06123","DUF124 domain-containing protein","DUF124 domain-containing protein","KAF4584107.1","XP_008599442.1",3.81e-122,363,3e-123,365
"GQ602_005482","BBA_06120","Sex-determining transformer protein 1","C2H2 type zinc finger domain protein","KAF4584109.1","XP_008599439.1",2.43e-75,256,2.97e-75,255
"GQ602_005484","BBA_06119","cytochrome b5","cytochrome b5-like Heme/Steroid binding domain-containing protein","KAF4584111.1","XP_008599438.1",1.98e-63,187,1.41e-63,187
"GQ602_005485","BBA_06118","TPR Domain containing protein","TPR domain-containing protein","KAF4584112.1","XP_008599437.1",5.82e-148,432,6.81e-141,414
"GQ602_005487","BBA_06117","DNA repair and recombination protein rhm52","Sts1 protein","KAF4584114.1","XP_008599436.1",9.48e-169,493,5.1e-168,491
"GQ602_005491","BBA_06113","Protein AIR2","zinc knuckle domain-containing protein","KAF4584118.1","XP_008599432.1",3.92e-39,149,2.21e-39,150
"GQ602_005492","BBA_06112","protein ORM1","protein ORM1","KAF4584119.1","XP_008599431.1",1.14e-121,339,5.02e-115,322
"GQ602_005494","BBA_03791","O-methyltransferase, family 3","O-methyltransferase family protein","KAF4584121.1","XP_008597110.1",6.22e-78,234,4.38e-78,234
"GQ602_005495","BBA_06110","pali-domain-containing protein","palI protein","KAF4584122.1","XP_008599429.1",8.91e-41,138,8.6e-41,138
"GQ602_005496","BBA_06109","pal1-like protein","hypothetical protein BBA_06109","KAF4584123.1","XP_008599428.1",1.5e-18,79,9.41e-20,82.4
"GQ602_005497","BBA_06108","Mediator complex, subunit Med1","glutamine synthetase","KAF4584124.1","XP_008599427.1",0,645,0,640
"GQ602_005500","BBA_06106","methionyl-tRNA formyltransferase","formyl transferase","KAF4584127.1","XP_008599425.1",3.3e-97,294,6.29e-98,296
"GQ602_005502","BBA_06105","major facilitator superfamily transporter","hypothetical protein BBA_06105","KAF4584129.1","XP_008599424.1",0,874,0,890
"GQ602_005503","BBA_06104","LIM domain-containing protein","LIM domain-containing protein","KAF4584130.1","XP_008599423.1",1.31e-87,286,6.68e-80,266
"GQ602_005504","BBA_06103","myo-inositol-phosphate synthase","myo-inositol-1-phosphate synthase","KAF4584131.1","XP_008599422.1",0,926,0,926
"GQ602_005505","BBA_06102","DNA replication checkpoint mediator","MRC1-like domain-containing protein","KAF4584132.1","XP_008599421.1",8.82e-141,447,5.54e-121,394
"GQ602_005506","BBA_05000","Phosphatidate cytidylyltransferase","cytidylyltransferase-like protein","KAF4584133.1","XP_008598319.1",0,734,0,734
"GQ602_005507","BBA_05002","DNA repair protein Rad26","DNA repair protein Rad26","KAF4584134.1","XP_008598321.1",0,651,0,575
"GQ602_005510","BBA_05006","UDP-glucose 6-dehydrogenase","nucleotide sugar dehydrogenase","KAF4584137.1","XP_008598325.1",0,994,0,1003
"GQ602_005511","BBA_05008","hypothetical protein GQ602_005511","hypothetical protein BBA_05008","KAF4584138.1","XP_008598327.1",2.67e-79,244,1.43e-88,268
"GQ602_005513","BBA_05411","membrane transporter","major facilitator superfamily transporter","KAF4584140.1","XP_008598730.1",0,805,0,805
"GQ602_005514","BBA_06270","putative chitosanase precursor","chitosanase precursor","KAF4584141.1","XP_008599589.1",4.75e-73,221,9.44e-74,223
"GQ602_005515","BBA_05883","Pyridoxal phosphate-dependent transferase, major domain protein","beta-eliminating lyase","KAF4584142.1","XP_008599202.1",7.27e-173,484,5.4e-174,487
"GQ602_005516","BBA_05425","siroheme synthase","hypothetical protein BBA_05425","KAF4584143.1","XP_008598744.1",1.81e-104,313,7.08e-103,308
"GQ602_005517","BBA_05426","NAD(P)-binding domain protein","siroheme synthase domain-containing protein","KAF4584144.1","XP_008598745.1",1.5e-156,434,1.07e-156,434
"GQ602_005518","BBA_05427","Zinc finger, FYVE/PHD-type","FYVE zinc finger protein","KAF4584145.1","XP_008598746.1",0,720,0,688
"GQ602_005519","BBA_05428","Swi6","start control protein cdc10","KAF4584146.1","XP_008598747.1",0,1194,0,1185
"GQ602_005520","BBA_05429","complex 1 protein (LYR family) domain-containing protein","hypothetical protein BBA_05429","KAF4584147.1","XP_008598748.1",3.59e-84,259,2.5e-85,261
"GQ602_005521","BBA_05430","N-acetyltransferase ats1","Acyl-CoA N-acyltransferase","KAF4584148.1","XP_008598749.1",5.13e-82,239,3.72e-82,239
"GQ602_005530","BBA_05432","hypothetical protein GQ602_005530","hypothetical protein BBA_05432","KAF4584157.1","XP_008598751.1",2.34e-34,131,2.1e-38,142
"GQ602_005531","BBA_05433","putative transporter","pantothenate transporter liz1","KAF4584158.1","XP_008598752.1",0,691,0,658
"GQ602_005533","BBA_05435","High-affinity methionine permease","amino acid permease","KAF4584160.1","XP_008598754.1",0,775,0,774
"GQ602_005534","BBA_05436","SSCRP protein","hypothetical protein BBA_05436","KAF4584161.1","XP_008598755.1",1.05e-59,183,7.81e-60,183
"GQ602_005535","BBA_05437","glycoside hydrolase family 2 protein","glycoside hydrolase family 2","KAF4584162.1","XP_008598756.1",0,885,0,897
"GQ602_005536","BBA_05438","P-loop containing nucleoside triphosphate hydrolase","hypothetical protein BBA_05438","KAF4584163.1","XP_008598757.1",1.19e-151,442,6.88e-152,442
"GQ602_005538","BBA_08837","glutathione s-transferase","glutathione S-transferase domain-containing protein","KAF4584165.1","XP_008602156.1",2.6e-89,265,1.18e-94,278
"GQ602_005539","BBA_08838","XAP5 domain-containing protein","XAP5 domain-containing protein","KAF4584166.1","XP_008602157.1",2.81e-139,399,1.28e-140,402
"GQ602_005543","BBA_08841","putative methyltransferase-like protein C27D7.08c","DUF890 domain-containing protein","KAF4584170.1","XP_008602160.1",3.53e-155,454,9.48e-155,453
"GQ602_005544","BBA_08847","Transcription regulator","transcription regulator PAB1642","KAF4584171.1","XP_008602166.1",6.25e-32,115,6.61e-29,107
"GQ602_005546","BBA_08845","sugar transporter family protein","H+ symporter family protein","KAF4584173.1","XP_008602164.1",0,627,0,627
"GQ602_005547","BBA_08843","hypothetical protein GQ602_005547","fungal specific transcription factor","KAF4584174.1","XP_008602162.1",0,996,0,988
"GQ602_005548","BBA_07659","putative sulphydryl oxidase protein","sulphydryl oxidase","KAF4584175.1","XP_008600978.1",1.13e-133,388,4.94e-134,389
"GQ602_005549","BBA_08849","HAD-like domain protein","haloacid dehalogenase-like hydrolase","KAF4584176.1","XP_008602168.1",2.22e-106,308,1.72e-106,308
"GQ602_005550","BBA_08850","tetratricopeptide repeat protein 1 (TTC1)","tetratricopeptide repeat protein 1 (TTC1), putative","KAF4584177.1","XP_008602169.1",7.21e-58,185,5.88e-58,185
"GQ602_005552","BBA_08852","ASTRA-associated protein 1","WD repeat-containing protein","KAF4584179.1","XP_008602171.1",5.95e-130,379,5.05e-130,379
"GQ602_005554","BBA_08856","pantoate-beta-alanine ligase","fusarium oxysporum panthotenate synthetase","KAF4584181.1","XP_008602175.1",8.94e-131,376,1.8e-136,390
"GQ602_005555","BBA_08857","Phospholipid/glycerol acyltransferase","acyltransferase-like protein","KAF4584182.1","XP_008602176.1",0,1396,0,1396
"GQ602_005556","BBA_08858","Ribonuclease P/MRP, subunit p29","ribonuclease P protein subunit p29","KAF4584183.1","XP_008602177.1",1.14e-89,263,8.77e-90,263
"GQ602_005557","BBA_08859","GYF domain protein","GYF domain-containing protein","KAF4584184.1","XP_008602178.1",0,1390,0,1377
